96,94,85,65,243,43,3,51,17,11,1,1,0,0,0,0
47,149,278,327,2024,785,77,2417,866,1066,169,31,0,0,0,0
11,11,7,4,13,1,1,2,2,1,0,0,0,0,0,0
0,0,0,0,0,0,0,145,105,408,134,34,0,0,0,0
0,2,1,4,13,1,0,0,0,0,0,0,0,0,0,0
3,5,4,1,7,1,0,0,0,0,0,0,0,0,0,0
12,17,21,10,28,11,0,7,1,3,1,1,0,0,0,0
19,17,35,15,52,12,1,9,1,1,0,0,0,0,0,0
12,11,1,1,3,0,0,4,1,1,0,0,0,0,0,0
2,5,2,2,8,1,0,0,0,0,0,0,0,0,0,0
12,23,16,13,30,1,0,0,0,0,0,0,0,0,0,0
8,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,11,8,9,27,10,1,58,44,231,129,33,0,0,0,0
63,140,241,321,1815,764,74,2026,775,1000,206,34,0,0,0,0
18,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,3,1,8,1,0,4,2,1,0,0,0,0,0,0
13,10,15,3,30,3,1,2,1,1,0,0,0,0,0,0
4,3,6,2,15,1,0,3,2,4,1,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,0,1,0,6,1
19,24,14,9,42,5,0,5,2,3,2,1,0,0,0,0
3,7,3,3,5,2,0,1,0,0,0,0,5,1,2,1
1,3,1,0,4,1,0,0,0,0,0,0,0,0,0,0
2,5,5,3,14,4,0,8,2,1,0,0,0,0,0,0
1,2,0,2,3,1,0,0,0,0,0,0,0,0,0,0
709,1531,2115,2110,9017,2313,189,3042,795,761,133,33,0,0,0,0
24,28,21,15,42,9,0,10,2,1,0,0,0,0,0,0
277,228,320,703,2071,1840,321,30358,23889,87356,33159,7357,36,41,357,92
1,5,4,4,5,1,0,0,0,0,0,0,0,0,0,0
8,6,10,5,11,1,0,0,0,0,0,0,0,0,0,0
500,1032,1458,1443,6042,1504,92,2084,573,573,113,36,0,0,0,0
85,87,23,17,25,0,1,8,0,6,0,0,0,0,0,0
5,12,36,51,323,122,13,602,272,525,154,38,0,0,0,0
11,22,13,3,22,9,0,18,6,18,9,1,0,0,0,0
17,26,20,7,26,6,2,6,6,1,0,0,0,0,0,0
1,4,0,0,0,0,0,0,0,0,0,0,1,3,1,1
11,8,3,2,9,1,0,0,0,0,0,0,0,0,0,0
50,65,62,38,136,31,3,35,4,12,3,1,0,0,0,0
5,5,7,4,10,1,0,6,2,1,0,0,0,0,0,0
8,16,13,7,18,2,0,4,1,1,0,0,0,0,0,0
133,184,192,111,391,79,3,107,17,32,2,2,0,0,0,0
4,3,3,0,4,1,0,0,0,0,0,0,0,0,0,0
3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,1,1,0,2,2,7,1,1,0,0,0,0
0,6,0,1,9,1,1,12,4,14,2,1,0,0,0,0
1,3,2,1,4,1,0,0,0,0,0,0,0,0,0,0
4,0,4,2,2,1,0,0,0,0,0,0,0,0,0,0
56,174,287,373,2344,991,103,2853,1033,1356,225,35,0,0,0,0
50,61,48,34,133,11,1,17,4,1,1,1,0,0,0,0
31,47,31,17,46,8,1,13,3,8,4,1,0,0,0,0
0,0,0,0,0,0,0,0,0,40,0,39,0,0,0,0
3,2,2,1,5,2,1,0,0,0,0,0,0,0,0,0
10,6,2,2,5,1,0,0,0,0,0,0,0,0,0,0
9,17,13,10,31,3,0,4,1,1,0,0,0,0,0,0
2,9,7,2,9,3,0,4,3,1,0,0,0,0,0,0
6,5,10,4,20,0,1,4,2,1,1,1,0,0,0,0
6,4,5,8,7,4,0,2,0,12,2,0,0,0,0,0
28,52,48,18,88,21,3,22,6,7,1,0,0,0,0,0
9,6,4,2,6,1,0,0,0,0,0,0,0,0,0,0
4,5,6,5,3,1,0,0,0,0,0,0,0,0,0,0
15,12,5,3,6,1,0,0,0,0,0,0,0,0,0,0
2,5,3,2,8,1,0,2,2,1,0,0,0,0,0,0
73,80,79,44,153,30,1,33,2,6,1,2,0,0,0,0
69,111,114,63,220,35,2,39,10,10,1,1,0,0,0,0
11,10,9,6,22,6,0,5,1,1,0,0,0,0,0,0
6,1,5,2,10,1,0,0,0,0,0,0,0,0,0,0
2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
4,7,13,22,64,31,5,206,120,528,160,35,0,0,0,0
7,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15,41,52,84,508,231,28,951,405,838,195,37,0,0,0,0
86,116,132,81,206,41,2,40,12,18,4,1,0,0,0,0
3,9,8,1,10,1,0,0,0,0,0,0,0,0,0,0
1,9,2,1,1,1,0,0,0,0,0,0,0,0,0,0
0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0
15,24,14,16,39,12,0,3,1,1,0,0,0,0,0,0
6,5,2,0,8,1,0,0,0,0,0,0,0,0,0,0
5,4,7,4,16,3,0,3,3,1,0,0,0,0,0,0
56,81,68,34,155,33,3,56,18,21,3,1,0,0,0,0
64,125,130,73,151,44,6,46,0,11,0,0,0,0,0,0
4,1,2,4,9,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,7,0,0,27,0,0,0,0,0,0,0,0
7,3,2,5,6,1,0,0,0,0,0,0,0,0,0,0
3,5,2,1,4,1,0,0,0,0,0,0,0,0,0,0
26,69,134,161,1011,426,50,1126,397,526,95,16,1,0,0,0
9,5,12,7,18,1,0,0,0,0,0,0,0,0,0,0
0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0
3,2,5,1,2,1,0,0,0,0,0,0,0,0,0,0
6,4,5,1,6,2,0,0,0,0,0,0,0,0,0,0
43,63,78,33,75,22,0,38,24,8,0,0,0,0,0,0
0,0,3,0,6,1,0,0,0,0,0,0,0,0,0,0
18,39,28,16,41,5,0,8,1,2,1,1,0,0,0,0
3,7,7,3,9,1,0,0,0,0,0,0,0,0,0,0
