FOS10_ROS10,FOS10_ROS11,FOS10_ROS12,FOS10_ROS13,FOS10_ROS1,FOS10_ROS9,FOS1_ROS10,FOS1_ROS11,FOS1_ROS12,FOS1_ROS13,FOS1_ROS1,FOS1_ROS2,FOS1_ROS3,FOS1_ROS4,FOS1_ROS5,FOS1_ROS6,FOS1_ROS7,FOS1_ROS8,FOS1_ROS9,FOS2_ROS10,FOS2_ROS11,FOS2_ROS12,FOS2_ROS13,FOS2_ROS1,FOS2_ROS2,FOS2_ROS3,FOS2_ROS4,FOS2_ROS5,FOS2_ROS6,FOS2_ROS7,FOS2_ROS8,FOS2_ROS9,FOS3_ROS10,FOS3_ROS11,FOS3_ROS12,FOS3_ROS13,FOS3_ROS1,FOS3_ROS2,FOS3_ROS3,FOS3_ROS4,FOS3_ROS5,FOS3_ROS6,FOS3_ROS7,FOS3_ROS8,FOS3_ROS9,FOS4_ROS10,FOS4_ROS11,FOS4_ROS12,FOS4_ROS13,FOS4_ROS1,FOS4_ROS2,FOS4_ROS3,FOS4_ROS4,FOS4_ROS5,FOS4_ROS6,FOS4_ROS7,FOS4_ROS8,FOS4_ROS9,FOS5_ROS10,FOS5_ROS11,FOS5_ROS12,FOS5_ROS13,FOS5_ROS1,FOS5_ROS2,FOS5_ROS3,FOS5_ROS4,FOS5_ROS5,FOS5_ROS6,FOS5_ROS7,FOS5_ROS8,FOS5_ROS9,FOS6_ROS10,FOS6_ROS11,FOS6_ROS12,FOS6_ROS13,FOS6_ROS1,FOS6_ROS2,FOS6_ROS3,FOS6_ROS4,FOS6_ROS5,FOS6_ROS6,FOS6_ROS7,FOS6_ROS8,FOS6_ROS9,FOS7_ROS10,FOS7_ROS13,FOS7_ROS1,FOS7_ROS2,FOS7_ROS3,FOS7_ROS8,FOS8_ROS10,FOS8_ROS1,FOS8_ROS2,FOS8_ROS3,FOS8_ROS6,FOS8_ROS7,FOS8_ROS8,FOS9_ROS10,FOS9_ROS11,FOS9_ROS13,FOS9_ROS1,FOS9_ROS3,FOS9_ROS4,FOS9_ROS6,FOS9_ROS7,FOS9_ROS8,FOS9_ROS9
0,0,0,0,0,0,856,14,0,0,0,0,517,6,1,0,0,0,1,0,0,0,0,0,538,74,1,1,0,1,0,561,0,0,0,15,0,4,0,0,0,0,0,0,0,0,0,0,44,3,0,0,200,0,0,2,406,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,635,57,0,0,0,0,498,40,0,0,0,1,0,0,0,0,1,0,428,14,1,0,1,3,0,455,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,98,0,0,0,191,0,1,0,394,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,544,202,0,0,0,0,463,472,0,2,2,0,0,0,0,0,0,0,557,383,3,0,0,1,5,288,0,8,0,3,0,0,1,0,0,0,1,1,1,7,2,0,495,0,1,1,294,0,3,51,2314,1132,0,0,0,0,3,0,0,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,540,7,0,0,0,0,547,12,0,0,0,0,1,0,0,0,0,0,508,3,0,0,0,3,0,582,0,0,0,19,4,0,5,0,0,0,0,0,0,0,0,0,19,0,1,0,189,0,1,1,273,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,733,7,0,0,0,0,681,47,1,1,2,1,1,0,0,0,0,0,540,8,0,0,0,0,1,557,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,262,0,1,1,347,65,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,990,8,0,0,0,1,615,14,0,1,0,1,1,0,0,0,0,0,559,29,2,0,4,0,0,750,0,0,0,11,0,1,0,0,0,0,0,0,0,2,0,0,26,0,1,0,336,0,1,0,475,54,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1375,2,0,0,1,0,1363,0,0,1,0,0,2,0,0,0,0,0,1286,1,1,0,0,3,0,532,15,0,0,73,55,427,120,10,0,0,0,0,155,0,0,1,0,325,12,1,612,0,1,0,235,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,761,14,0,0,0,0,622,12,1,0,0,0,0,0,0,1,0,0,674,5,3,0,0,3,0,752,0,0,0,8,0,8,0,0,0,0,0,0,2,0,2,0,9,0,0,2,239,0,1,2,504,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,635,0,0,0,0,0,416,0,0,0,0,0,0,0,0,0,0,0,330,0,1,0,0,0,0,223,0,0,0,29,13,33,0,0,0,0,0,0,1,0,0,0,1,57,1,0,97,0,0,0,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,909,1,0,0,0,1,664,3,1,1,0,0,0,0,0,0,0,0,923,0,0,0,2,3,0,1130,0,0,0,6,0,9,0,0,0,0,0,0,1,0,0,0,1,0,1,0,16,0,0,1,69,9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
