date,time,evolution condition,replicate #,OD600(1:10 dil),coulter counter,mean size,mode,median size,colonies on 1st YPD plate (100uL of 10^-5 dilution or 100ul of 10^-4/10),colonies on 2nd YPD plate (100uL of 10^-5 dilution or 100ul of 10^-4/10),cell/mL from plating,colonies on 1st URA- plate (100uL of 10^-5 dilution or 100ul of 10^-4/10),colonies on 2nd URA- plate (100uL of 10^-5 dilution or 100ul of 10^-4/10),URA+ cells/mL,% URA+,transfer #,timepoint,volume transfered (mL),total URA- cells transfered,number of diploids,total colonies screened,% diploid,notes,notes,notes,wells with diploids,wells to exclude because of poor screen,wells with haploids,wells with possible haploids,generations,population
2/7/22,11:45 AM,8 day,2,0.509,1.08E+08,101.37,14.43,90.97,40,28,34000000,28,31,29500000,0.867647059,18,17,0.9,26550000,83,92,90.2173913,looked good under microscope,,,,,"A5,A6,A7,A11,B5,B8,B9,B10,C6,C10,D2,D4,E8,E9,E10,F1,F6,F9,G11",,,
2/7/22,11:45 AM,8 day,3,0.819,1.13E+08,99.21,14.43,84.69,37,27,32000000,35,37,36000000,1.125,18,17,0.7,25200000,88,92,95.65217391,looked good under microscope,,,,,"A6,A7,B11,F1",,,
2/7/22,11:45 AM,8 day,3b,0.564,1.15E+08,121.19,15.68,114.81,23,24,23500000,33,35,34000000,1.446808511,18,17,0.9,30600000,33,79,41.7721519,looked good under microscope,,,"A1,A3,A4,A6,B1,B6,B9,B10,B11,C3,C5,C6,C10,C11,D1,D3,D7,D9,D12,E2,E6,E7,E10,F2,F4,F6,F9,F11,F12,G3,G4,G5,G6",,,,,
2/7/22,2:00 PM,2 day,1,0.679,2.39E+08,54.38,28.23,43.29,255,217,236000000,248,231,239500000,1.014830508,4,3,0.4,95800000,7,92,7.608695652,looked good under microscope,,,"A5,B3,C1,C4,E7,G12,H5",,,,,
2/7/22,2:00 PM,2 day,2,0.722,2.20E+08,54.27,29.49,43.29,193,179,186000000,197,183,190000000,1.021505376,4,3,0.4,76000000,26,92,28.26086957,looked good under microscope,,,"A10,A11,A12,B3,B8,B12,C5,C7,C12,D3,E5,E11,F2,F3,F5,F6,F11,G1,G5,G6,G7,G10,G11,G12,H2",,,,,
2/9/22,1:30 PM,2 day,1,0.7,2.38E+08,53.78,29.49,43.29,152,169,160500000,196,205,200500000,1.249221184,5,4,0.4,80200000,8,92,8.695652174,looked good under microscope,,,"B1,B2,B4,C6,E1,E7,F7",,,,,
2/9/22,1:30 PM,2 day,2,0.664,1.98E+08,52.47,26.98,42.03,177,168,172500000,186,139,162500000,0.942028986,5,4,0.4,65000000,7,92,7.608695652,looked good under microscope,,,"A5,A12,B2,C5,C8,D9,E12",,,,,
2/11/22,10:15 AM,4 day,1,0.737,2.44E+08,53.92,30.74,44.54,181,171,176000000,173,147,160000000,0.909090909,7,6,0.4,64000000,11,91,12.08791209,looked good under microscope,,,"A12,B8,C6,D1,E11,F4,F7,F9,H1,G3,G6",C2,,,,
2/11/22,10:15 AM,4 day,2,0.704,2.37E+08,55.46,32,45.8,197,139,168000000,177,201,189000000,1.125,7,6,0.4,75600000,12,91,13.18681319,looked good under microscope,,,"A1,A7,A8,B5,C1,C4,C8,D1,D4,D12,G9,H3",F3,,,,
2/11/22,10:15 AM,4 day,3,0.669,2.12E+08,54.19,26.28,44.54,187,181,184000000,221,222,221500000,1.203804348,7,6,0.4,88600000,13,92,14.13043478,looked good under microscope,,,"A5,A6,A9,A11,B7,C1,C6,C7,D3,E7,E8,F5,G4",,,,,
2/11/22,1:15 PM,2 day,1,0.734,2.22E+08,54.22,26.98,44.54,292,259,275500000,291,267,279000000,1.012704174,6,5,0.4,111600000,10,91,10.98901099,looked good under microscope,,,"A7,D2,D7,F1,F4,F10,G2,G10,H2,H6",E2,,,,
2/11/22,1:15 PM,2 day,2,0.704,3.06E+08,56.93,29.49,47.05,205,236,220500000,177,216,196500000,0.891156463,6,5,0.4,78600000,2,92,2.173913043,looked good under microscope,,,"A1,H8",,,,,
2/13/22,10:15 AM,10 day,1,0.677,1.94E+08,57.74,15.68,48.31,63,73,68000000,72,66,69000000,1.014705882,18,17,0.5,34500000,,,#DIV/0!,looked good under microscope,96-well plate contaminated/no benomyl assays,,,,,,,
2/13/22,10:15 AM,10 day,2,0.589,1.46E+08,106.65,126.1,113.55,68,77,72500000,65,65,65000000,0.896551724,18,17,0.5,32500000,,,#DIV/0!,looked good under microscope,96-well plate contaminated/no benomyl assays,,,,,,,
2/13/22,10:15 AM,10 day,3,0.684,2.51E+08,41.22,16.94,33.25,11,11,11000000,4,12,8000000,0.727272727,18,17,0.7,5600000,,,#DIV/0!,looked good under microscope,96-well plate contaminated/no benomyl assays,,,,,,,
2/13/22,12:00 PM,2 day,1,0.7,2.36E+08,53.87,28.23,44.54,184,206,195000000,200,219,209500000,1.074358974,7,6,0.4,83800000,,,#DIV/0!,looked good under microscope,96-well plate contaminated/no benomyl assays,,,,,,,
2/13/22,12:00 PM,2 day,2,0.678,2.28E+08,53.65,26.98,43.29,163,170,166500000,219,217,218000000,1.309309309,7,6,0.4,87200000,,,#DIV/0!,looked good under microscope,96-well plate contaminated/no benomyl assays,,,,,,,
2/15/22,10:00 AM,4 day,1,0.685,2.49E+08,58.56,26.98,48.31,183,160,171500000,166,176,171000000,0.997084548,8,7,0.4,68400000,23,92,25,looked good under microscope,,,"A2,A7,A9,B4,B9,C5,D1,D5,D6,D8,D9,D10,E7,E8,E9,F2,F4,F11,G3,G7,G8,H1,H7",,,,,
2/15/22,10:00 AM,4 day,2,0.72,2.34E+08,58.82,29.49,48.31,130,127,128500000,143,161,152000000,1.182879377,8,7,0.4,60800000,,,#DIV/0!,looked good under microscope,96-well plate contaminated/no benomyl assays,,,,,,,
2/15/22,10:00 AM,4 day,3,0.778,2.17E+08,57.61,25.72,47.05,143,123,133000000,126,116,121000000,0.909774436,8,7,0.4,48400000,,,#DIV/0!,looked good under microscope,96-well plate contaminated/no benomyl assays,,,,,,,
2/15/22,11:15 AM,8 day,2,0.549,1.01E+08,106.83,43.29,103.52,33,25,29000000,26,25,25500000,0.879310345,19,18,1,25500000,41,44,93.18181818,cells looked good but some cellular debris,contaminant colonies on YPD plates for 8 day #2,,,,"A8,A10,A12",,,
2/15/22,11:15 AM,8 day,3,0.58,1.68E+08,109.09,38.27,111.04,8,19,13500000,15,12,13500000,1,19,18,1,13500000,,,#DIV/0!,cells looked good but some cellular debris,96-well plate contaminated/no benomyl assays,,,,,,,
2/15/22,11:15 AM,8 day,3b,0.597,1.07E+08,122.55,14.43,123.59,20,14,17000000,22,19,20500000,1.205882353,19,18,1,20500000,,,#DIV/0!,cells looked good but some cellular debris,96-well plate contaminated/no benomyl assays,,,,,,,
2/15/22,1:00 PM,2 day,1,0.775,2.85E+08,58.11,29.49,48.31,198,172,185000000,191,225,208000000,1.124324324,8,7,0.4,83200000,11,92,11.95652174,looked good under microscope,,,"A2,A6,C6,C9,D3,D4,F3,F10,F12,G1,H5",,,,,
2/15/22,1:00 PM,2 day,2,0.736,2.27E+08,56.92,30.74,47.05,241,250,245500000,219,273,246000000,1.00203666,8,7,0.4,98400000,14,92,15.2173913,looked good under microscope,,,"A5,A7,A8,B11,B12,C1,C4,C6,C7,E10,F5,F8,F11,G4",,,,,
2/17/22,1:00 PM,2 day,1,0.715,2.43E+08,57.86,26.98,48.31,169,168,168500000,176,174,175000000,1.038575668,9,8,0.4,70000000,10,91,10.98901099,looked good under microscope,,,"A8,B2,B12,C2,D7,E4,E6,F3,G3,H6",B9,,,,
2/17/22,1:00 PM,2 day,2,0.73,2.43E+08,57.11,26.98,47.05,239,242,240500000,277,271,274000000,1.139293139,9,8,0.4,109600000,16,92,17.39130435,looked good under microscope,,,"A1,A7,B1,B10,C4,D1,E3,E7,E8,E11,F2,F12,G1,G4,G12,H1",,,,,
2/19/22,11:30 AM,4 day,1,0.684,2.70E+08,72.63,28.23,57.09,95,107,101000000,110,100,105000000,1.03960396,9,8,0.4,42000000,26,91,28.57142857,looked good under microscope,,,"A1,A6,A12,B1,B10,C3,C4,C5,C7,C9,D2,D3,D4,D7,D10,E1,E11,E12,F1,F5,F7,F9,G3,G6,G8,G11",D1,,,,
2/19/22,11:30 AM,4 day,2,0.607,1.77E+08,66.91,24.47,53.33,260,240,250000000,245,265,255000000,1.02,9,8,0.4,102000000,46,92,50,looked good under microscope,,,"A3,A4,A6,A11,B2,B5,B7,B9,B10,C2,C4,C8,C10,D2,D3,D4,D5,D6,D7,D8,D10,E1,E2,E4,E5,E6,E7,E9,E10,E11,E12,F1,F3,F8,F10,G2,G3,G4,G5,G6,G7,G8,G10,G11,H1,H8",,,,,
2/19/22,11:30 AM,4 day,3,0.68,1.95E+08,71.79,30.74,57.09,104,97,100500000,102,98,100000000,0.995024876,9,8,0.4,40000000,36,91,39.56043956,looked good under microscope,,,"A3,A4,A6,A7,B1,B2,B3,B6,B7,B9,C1,C9,C10,C11,D1,D3,D5,D6,D12,E6,E7,E12,F3,F7,F8,F10,G1,G2,G4,G5,G6,G9,H1,H2,H4,H5",F1,,,,
2/19/22,1:15 PM,2 day,1,0.718,2.28E+08,60.47,26.98,52.07,282,224,253000000,254,276,265000000,1.04743083,10,9,0.4,106000000,10,91,10.98901099,looked good under microscope,,,"A11,A12,B5,B6,B9,C5,C6,E5,H4,H6",A1,,,,
2/19/22,1:15 PM,2 day,2,0.713,2.00E+08,57.13,29.49,49.56,168,182,175000000,213,217,215000000,1.228571429,10,9,0.4,86000000,13,92,14.13043478,looked good under microscope,,,"A2,A11,B5,B10,B12,C4,D6,E4,E10,E11,F4,F11,G6",,,,,
2/21/22,1:30 PM,2 day,1,0.009,4.98E+06,50.43,29.49,40.78,221,224,222500000,245,233,239000000,1.074157303,10,9,1,239000000,,,#DIV/0!,restarted from T9 frozen aliquot,looked good under microscope,,,,,,,
2/21/22,1:30 PM,2 day,2,0.011,4.55E+06,50.97,29.49,40.78,263,294,278500000,255,260,257500000,0.92459605,10,9,1,257500000,,,#DIV/0!,restarted from T9 frozen aliquot,looked good under microscope,,,,,,,
2/21/22,2:15 PM,4 day,1,0.017,5.44E+06,54.42,14.43,42.03,209,199,204000000,186,185,185500000,0.909313726,9,8,1,185500000,,,#DIV/0!,restarted from T8 frozen aliquot,looked good under microscope,,,,,,,
2/21/22,2:15 PM,4 day,2,0.018,4.94E+06,60.71,26.98,45.8,232,229,230500000,201,219,210000000,0.911062907,9,8,1,210000000,,,#DIV/0!,restarted from T8 frozen aliquot,looked good under microscope,,,,,,,
2/21/22,2:15 PM,4 day,3,0.025,6.98E+06,63.57,26.98,48.31,282,305,293500000,278,302,290000000,0.988074957,9,8,1,290000000,,,#DIV/0!,restarted from T8 frozen aliquot,looked good under microscope,,,,,,,
2/23/22,11:15 AM,10 day,1,0.644,1.59E+08,58.38,15.68,48.31,89,64,76500000,60,61,60500000,0.790849673,19,18,0.7,42350000,2,92,2.173913043,looked good under microscope,,,"F9,G3",,,,,
2/23/22,11:15 AM,10 day,2,0.722,1.16E+08,108.92,131.12,114.81,153,132,142500000,144,140,142000000,0.996491228,19,18,0.7,99400000,90,92,97.82608696,looked good under microscope,larger cells,,,,"B8,C11",,,
2/23/22,11:15 AM,10 day,3,0.675,2.04E+08,42.25,15.68,33.25,32,46,39000000,45,39,42000000,1.076923077,19,18,1.1,46200000,18,90,20,looked good under microscope,,,"B1,C7,D1,D3,D5,D6,E1,E2,E11,G2,G4,G6,G7,H2,H3,H4,H5,H6",,,,,
2/23/22,1:15 PM,8 day,2,0.511,9.22E+07,107.98,45.8,102.26,21,26,23500000,26,24,25000000,1.063829787,20,19,1,25000000,71,77,92.20779221,looked good under microscope,,,,,"B12,C8,C12,D6,F9,F12",,,
2/23/22,1:15 PM,8 day,3,0.587,1.58E+08,110.42,40.78,112.3,19,34,26500000,14,17,15500000,0.58490566,20,19,1.1,17050000,57,63,90.47619048,looked good under microscope,,,,,"A7,B6,B12,C10,E1,E12",,,
2/23/22,1:15 PM,8 day,3b,0.628,1.09E+08,115.22,47.05,116.06,71,59,65000000,52,89,70500000,1.084615385,20,19,1,70500000,87,92,94.56521739,looked good under microscope,,,,,"C8,C9,F2,F7,G3",,,
2/23/22,1:30 PM,2 day,1,0.73,1.87E+08,57.69,26.98,48.31,230,206,218000000,213,212,212500000,0.974770642,11,10,0.4,85000000,26,92,28.26086957,looked good under microscope,,,"A12,B1,B3,B4,B6,B10,B12,C2,C9,C10,D4,D7,E1,E2,E5,E9,F6,F7,F8,F11,G2,G5,G6,G8,H2,H3",,,,,
2/23/22,1:30 PM,2 day,2,0.767,2.13E+08,61.71,25.72,54.58,255,212,233500000,255,228,241500000,1.034261242,11,10,0.4,96600000,17,92,18.47826087,looked good under microscope,,,"B2,C10,C11,D3,D8,D10,E3,E9,E10,F6,F11,G3,G4,G6,G7,G9,G10",,,,,
2/25/22,11:30 AM,4 day,1,0.64,2.49E+08,80.16,26.98,65.87,152,149,150500000,156,139,147500000,0.980066445,10,9,0.4,59000000,38,92,41.30434783,looked good under microscope,,,"A1,A5,A8,A12,B1,B3,B4,B5,B8,B9,,B11,C1,C2,C3,C6,C8,C9,D2,D4,D5,D6,D11,D12,E2,E10,F2,F3,F5,F7,F8,G3,G7,G8,G10,G12,H5,H6,H7",,,,,
2/25/22,11:30 AM,4 day,2,0.559,1.40E+08,84.59,33.25,72.15,254,247,250500000,243,254,248500000,0.992015968,10,9,0.4,99400000,67,92,72.82608696,looked good under microscope,,,,,"A3,A6,A12,B5,B8,B10,C10,D3,D6,D7,E1,E4,E6,E12,F1,F5,F7,F8,F9,F12,G12,H2,H3,H5,H6",,,
2/25/22,11:30 AM,4 day,3,0.505,1.23E+08,87.43,29.49,72.15,82,83,82500000,100,86,93000000,1.127272727,10,9,0.4,37200000,68,92,73.91304348,looked good under microscope,,,,,"A4,A8,A9,A11,A12,B6,C4,C7,C9,C11,C12,D3,D10,E3,E5,E9,E10,E11,F12,G10,G11,H3,H5,H7",,,
2/25/22,1:15 PM,2 day,1,0.725,2.28E+08,62.1,28.23,54.58,173,198,185500000,224,248,236000000,1.272237197,12,11,0.4,94400000,13,92,14.13043478,looked good under microscope,,,"A2,A3,A11,C11,D6,D7,E9,F1,G3,H1,H2,H3,H8",,,,,
2/25/22,1:15 PM,2 day,2,0.737,2.32E+08,60.33,24.47,53.33,201,186,193500000,193,173,183000000,0.945736434,12,11,0.4,73200000,7,92,7.608695652,looked good under microscope,,,"C11,C12,D11,E7,G9,G11,H7",,,,,
2/27/22,2:30 PM,2 day,1,0.754,2.42E+08,63.66,29.49,55.84,327,268,297500000,330,134,232000000,0.779831933,13,12,0.4,92800000,15,92,16.30434783,looked good under microscope,,,"A9,D5,D8,E1,E3,F3,F4,F5,F10,G3,G7,G10,H5,H7,H8",,,,,
2/27/22,2:30 PM,2 day,2,0.745,2.58E+08,62.02,28.23,54.58,204,228,216000000,210,213,211500000,0.979166667,13,12,0.4,84600000,8,92,8.695652174,looked good under microscope,,,"A11,A12,C10,D6,D8,E12,F6,H4",,,,,
3/1/22,10:30 AM,4 day,1,0.534,1.65E+08,79.01,16.94,64.62,76,77,76500000,84,90,87000000,1.137254902,11,10,0.4,34800000,47,92,51.08695652,looked good under microscope,,,,,"A3,A4,A6,A7,A8,A11,A12,B3,B5,B6,B7,B9,B12,C1,C2,C5,C7,C8,C10,C11,D1,D2,D3,D6,D8,D11,D12,E1,E2,E3,E5,E8,E10,E12,F5,F6,F9,F12,G2,G3,G4,G5,G6,H1,H7",,,
3/1/22,10:30 AM,4 day,2,0.508,1.30E+08,87.55,15.68,79.68,79,67,73000000,75,57,66000000,0.904109589,11,10,0.4,26400000,80,92,86.95652174,looked good under microscope,,,,,"A3,A8,B11,C4,D6,D9,E1,E3,E5,E6,E7,E9",,,
3/1/22,10:30 AM,4 day,3,0.47,1.16E+08,100.82,33.25,95.99,66,40,53000000,58,65,61500000,1.160377358,11,10,0.4,24600000,79,92,85.86956522,looked good under microscope,,,,,"A6,A8,A10,A11,B4,B9,C3,C5,D10,D11,E12,G10,H8",,,
3/1/22,1:30 PM,2 day,1,0.69,2.28E+08,60.26,26.98,53.33,179,211,195000000,207,204,205500000,1.053846154,14,13,0.4,82200000,15,92,16.30434783,looked good under microscope,,,"A12,B4,B5,B9,C3,C6,C9,D7,D9,E5,F1,F9,G3,G9,G10",,,,,
3/1/22,1:30 PM,2 day,2,0.725,2.33E+08,60.91,26.98,54.58,221,171,196000000,208,213,210500000,1.073979592,14,13,0.4,84200000,18,92,19.56521739,looked good under microscope,,,"B1,B2,B3,C1,C2,C7,D2,D4,D6,E5,E8,E11,F8,F9,F10,G3,G5,G8",,,,,
3/3/22,11:45 AM,8 day,2,0.473,1.01E+08,100.8,14.43,94.73,24,19,21500000,26,23,24500000,1.139534884,21,20,,0,58,79,73.41772152,looked good under microscope,population was retired due to high frequency of diploids,slow growth on benomyl assay-plate. forgot to add glucose.,,,"A4,A10,A11,B1,B4,C4,C7,C8,C9,C12,D1,D7,D10,D11,E1,E3,E8,E6,E9,G2,G4,",,,
3/3/22,11:45 AM,8 day,3,0.553,1.16E+08,106.93,38.27,101.01,52,49,50500000,48,52,50000000,0.99009901,21,20,,0,52,56,92.85714286,looked good under microscope,population was retired due to high frequency of diploids,slow growth on benomyl assay-plate. forgot to add glucose.,,,"A5,C3,C12,E1",,,
3/3/22,11:45 AM,8 day,3b,0.65,1.31E+08,121.27,45.8,128.61,12,19,15500000,17,15,16000000,1.032258065,21,20,0.7,11200000,4,14,28.57142857,looked good under microscope,,slow growth on benomyl assay-plate. forgot to add glucose.,"A1,A2,A8,A10",,,,,
3/3/22,1:15 PM,2 day,1,0.712,2.38E+08,60.97,28.23,53.33,315,276,295500000,315,287,301000000,1.018612521,15,14,0.4,120400000,18,92,19.56521739,looked good under microscope,,slow growth on benomyl assay-plate may have been dry??,"A4,A9,A11,B4,B7,B8,B9,C9,C12,D4,D7,D10,D11,E3,G2,G3,G6,G11",,,,,
3/3/22,1:15 PM,2 day,2,0.719,2.43E+08,59.75,24.47,53.33,195,211,203000000,203,213,208000000,1.024630542,15,14,0.4,83200000,11,92,11.95652174,looked good under microscope,,slow growth on benomyl assay-plate may have been dry??,"A7,A12,B9,C2,D6,D8,E4,F1,G1,G5,H8",,,,,
3/5/22,12:00 PM,4 day,1,0.456,1.39E+08,80.82,15.68,63.36,78,95,86500000,76,104,90000000,1.040462428,12,11,0.5,45000000,,,#DIV/0!,looked good under microscope,,slow growth on benomyl assay-plate may have been dry??,,,,,,
3/5/22,12:00 PM,4 day,2,0.43,1.13E+08,87.3,30.74,78.42,83,56,69500000,52,55,53500000,0.769784173,12,11,0.6,32100000,,,#DIV/0!,looked good under microscope,,slow growth on benomyl assay-plate may have been dry??,,,,,,
3/5/22,12:00 PM,4 day,3,0.454,1.96E+08,117.83,37.01,119.83,41,38,39500000,48,46,47000000,1.189873418,12,11,0.6,28200000,,,#DIV/0!,looked good under microscope,,slow growth on benomyl assay-plate may have been dry??,,,,,,
3/5/22,1:15 PM,2 day,1,0.699,2.28E+08,58.42,25.72,52.07,261,307,284000000,345,386,365500000,1.286971831,16,15,0.4,146200000,,,#DIV/0!,looked good under microscope,,slow growth on benomyl assay-plate may have been dry??,,,,,,
3/5/22,1:15 PM,2 day,2,0.721,2.62E+08,60.65,26.98,54.58,231,208,219500000,254,263,258500000,1.177676538,16,15,0.4,103400000,,,#DIV/0!,looked good under microscope,,slow growth on benomyl assay-plate may have been dry??,,,,,,
3/5/22,1:45 PM,10 day,1,0.596,1.71E+08,51.59,25.72,43.29,224,163,193500000,188,220,204000000,1.054263566,20,19,0.7,142800000,3,92,3.260869565,looked good under microscope,,slow growth on benomyl assay-plate may have been dry??,"D2,D4,E7",,,,,
3/5/22,1:45 PM,10 day,2,0.654,1.15E+08,106.22,124.85,111.04,94,84,89000000,78,91,84500000,0.949438202,20,19,,0,90,92,97.82608696,looked good under microscope,population was retired due to high frequency of diploids,slow growth on benomyl assay-plate may have been dry??,,,"B5,G6",,,
3/5/22,1:45 PM,10 day,3,0.636,1.84E+08,45.1,24.47,34.51,29,39,34000000,25,33,29000000,0.852941177,20,19,0.7,20300000,74,88,84.09090909,looked good under microscope,,slow growth on benomyl assay-plate may have been dry??,,,"A1,A3,A7,A9,A11,C8,C9,C11,D1,D5,E3,E4,E10,F10",,,
3/7/22,1:00 PM,2 day,1,0.686,2.60E+08,61.54,26.98,53.33,201,187,194000000,191,211,201000000,1.036082474,17,16,0.4,80400000,,,#DIV/0!,looked good under microscope,,slow growth on benomyl assay-plate may have been dry??,,,,,,
3/7/22,1:00 PM,2 day,2,0.736,2.07E+08,60.21,25.72,54.58,213,219,216000000,258,224,241000000,1.115740741,17,16,0.4,96400000,,,#DIV/0!,looked good under microscope,,slow growth on benomyl assay-plate may have been dry??,,,,,,
3/9/22,12:00 PM,4 day,1,0.514,1.38E+08,78.62,29.49,67.13,221,218,219500000,197,196,196500000,0.895216401,13,12,0.5,98250000,,,#DIV/0!,looked good under microscope,,slow growth on benomyl assay-plate may have been dry??,,,,,,
3/9/22,12:00 PM,4 day,2,0.6,1.28E+08,84.68,28.23,78.42,54,65,59500000,56,56,56000000,0.941176471,13,12,0.7,39200000,,,#DIV/0!,looked good under microscope,,slow growth on benomyl assay-plate may have been dry??,,,,,,
3/9/22,12:00 PM,4 day,3,0.485,1.06E+08,101.45,14.43,101.01,137,149,143000000,130,128,129000000,0.902097902,13,12,0.8,103200000,,,#DIV/0!,looked good under microscope,,slow growth on benomyl assay-plate may have been dry??,,,,,,
3/9/22,1:00 PM,2 day,1,0.699,2.71E+08,59.09,24.47,52.07,205,229,217000000,193,229,211000000,0.97235023,18,17,0.4,84400000,,,#DIV/0!,looked good under microscope,,slow growth on benomyl assay-plate may have been dry??,,,,,,
3/9/22,1:00 PM,2 day,2,0.686,3.73E+08,65.91,26.98,59.6,197,217,207000000,202,181,191500000,0.925120773,18,17,0.4,76600000,,,#DIV/0!,looked good under microscope,,slow growth on benomyl assay-plate may have been dry??,,,,,,
3/11/22,1:00 PM,2 day,1,0.759,2.41E+08,57.69,24.47,49.56,311,294,302500000,301,286,293500000,0.970247934,19,18,0.4,117400000,,,#DIV/0!,looked good under microscope,,slow growth on benomyl assay-plate may have been dry??,,,,,,
3/11/22,1:00 PM,2 day,2,0.728,2.60E+08,60.77,26.98,54.58,233,261,247000000,217,248,232500000,0.941295547,19,18,0.4,93000000,,,#DIV/0!,looked good under microscope,,slow growth on benomyl assay-plate may have been dry??,,,,,,
3/11/22,1:00 PM,8 day,3b,0.523,1.22E+08,106.17,38.27,107.28,81,80,80500000,78,85,81500000,1.01242236,22,21,1.2,97800000,,,#DIV/0!,looked good under microscope,,slow growth on benomyl assay-plate may have been dry??,,,,,,
3/13/22,1:30 PM,4 day,1,0.6,1.27E+08,74.36,14.43,60.85,71,84,77500000,90,87,88500000,1.141935484,14,13,0.4,35400000,57,92,61.95652174,looked good under microscope,,,,,"A1,A3,A4,A5,A7,A11,B5,B9,B10,C3,C6,C9,D4,D10,E3,E7,E10,E12,F2,F3,F6,F8,F11,F12,G1,G2,G3,G4,G7,G9,G10,H2,H3,H5,H7",,,
3/13/22,1:30 PM,4 day,2,0.53,1.16E+08,82.37,29.49,70.89,102,113,107500000,98,104,101000000,0.939534884,14,13,0.7,70700000,86,92,93.47826087,looked good under microscope,,,,,"A1,A5,C10,E2,F1,G2",,,
3/13/22,1:30 PM,4 day,3,0.454,1.05E+08,101.1,14.43,97.24,53,43,48000000,34,48,41000000,0.854166667,14,13,0.4,16400000,91,92,98.91304348,looked good under microscope,,,,,D3,,,
3/13/22,2:00 PM,2 day,1,0.828,2.17E+08,58.62,25.72,50.82,196,208,202000000,221,187,204000000,1.00990099,20,19,0.4,81600000,10,92,10.86956522,looked good under microscope,,slow growth on benomyl assay-plate may have been dry??,"C3,C12,D3,E9,E11,F9,G2,G6,H2,H8",,,,,
3/13/22,2:00 PM,2 day,2,0.651,2.60E+08,62.97,28.23,54.58,221,225,223000000,217,216,216500000,0.970852018,20,19,0.4,86600000,1,92,1.086956522,looked good under microscope,,slow growth on benomyl assay-plate may have been dry??,H7,,,,,
3/15/22,1:00 PM,2 day,1,0.73,2.17E+08,59.76,25.72,52.07,200,187,193500000,172,227,199500000,1.031007752,21,20,0.4,79800000,32,92,34.7826087,looked good under microscope,,,"A1,A2,A4,A7,A9,B2,B4,B7,B10,C2,C3,C8,C11,C12,D3,D5,D6,D8,E6,E7,F1,F7,F10,G3,G6,G7,G8,G10,G12,H1,H2,H6",,,,,
3/15/22,1:00 PM,2 day,2,0.686,2.37E+08,58.22,24.47,50.82,204,224,214000000,220,212,216000000,1.009345794,21,20,0.4,86400000,7,92,7.608695652,looked good under microscope,,,"B11,B12,C11,E3,E11,F10,G6",,,,,
3/15/22,1:00 PM,10 day,1,0.689,2.23E+08,62.58,26.98,49.56,43,56,49500000,56,47,51500000,1.04040404,21,20,0.4,20600000,0,92,0,looked good under microscope,,,,,,,,
3/15/22,1:00 PM,10 day,3,0.674,2.69E+08,50.36,16.94,38.27,25,26,25500000,25,27,26000000,1.019607843,21,20,1.2,31200000,77,81,95.0617284,looked good under microscope,,,,,"A5,F3,F9,G1",,,
3/17/22,1:00 PM,2 day,1,0.733,2.49E+08,62.15,25.72,54.58,272,225,248500000,257,261,259000000,1.042253521,22,21,0.4,103600000,11,92,11.95652174,looked good under microscope,,,"A2,A4,B4,D10,E11,E12,G1,G2,G5,G10,H7",,,,,
3/17/22,1:00 PM,2 day,2,0.732,2.71E+08,60.56,26.98,53.33,201,196,198500000,241,196,218500000,1.100755668,22,21,0.4,87400000,2,92,2.173913043,looked good under microscope,,,"F8,G1",,,,,
3/17/22,1:00 PM,4 day,1,0.484,1.56E+08,79.98,25.72,68.38,121,138,129500000,152,139,145500000,1.123552124,15,14,0.5,72750000,68,92,73.91304348,looked good under microscope,,,,,"A8,A9,A12,B2,B4,B5,B9,C8,D6,D9,E2,E3,E8,E11,F1,F3,F5,F7,F8,G1,G5,G9,H1,H6",,,
3/17/22,1:00 PM,4 day,2,0.427,1.13E+08,86.09,28.23,79.68,43,67,55000000,57,53,55000000,1,15,14,0.5,27500000,80,92,86.95652174,looked good under microscope,,,,,"A3,B2,C3,E1,E4,F2,G2,G4,G5,H1,H2,H8",,,
3/17/22,1:00 PM,4 day,3,0.486,9.40E+07,105.97,14.43,104.77,78,99,88500000,73,96,84500000,0.95480226,15,14,0.9,76050000,90,92,97.82608696,looked good under microscope,,,,,"B6,F8",,,
3/19/22,12:00 PM,2 day,1,0.711,2.84E+08,68.46,28.23,58.35,307,351,329000000,395,326,360500000,1.095744681,23,22,0.4,144200000,10,92,10.86956522,looked good under microscope,,,"A11,B2,C1,D2,F1,F8,G2,G10,G12,H4",,,,,
3/19/22,12:00 PM,2 day,2,0.726,2.51E+08,64.89,29.49,57.09,192,213,202500000,200,213,206500000,1.019753086,23,22,0.4,82600000,0,92,0,looked good under microscope,,,,,,,,
3/19/22,12:00 PM,8 day,3b,0.592,1.25E+08,110.7,15.68,111.04,30,31,30500000,22,14,18000000,0.590163934,23,22,0.6,10800000,57,71,80.28169014,looked good under microscope,,,,,"A1,A3,A4,A8,A10,A12,B8,B11,C5,C9,C11,C12,D8,D10",,,
3/21/22,12:30 PM,2 day,1,0.72,2.75E+08,67.44,30.74,58.35,153,179,166000000,193,184,188500000,1.135542169,24,23,0.4,75400000,16,91,17.58241758,looked good under microscope,,,"A3,A7,A9,A10,B4,B10,C7,C10,D1,D9,D12,E6,F10,G2,G6,H1",G11,,,,
