date,time,evolution condition,replicate #,OD600(1:10 dil),coulter counter,mean size,mode,median size,colonies on 1st YPD plate (100uL of 10^-5 dilution or 100ul of 10^-4/10),colonies on 2nd YPD plate (100uL of 10^-5 dilution or 100ul of 10^-4/10),cell/mL from plating,colonies on 1st URA- plate (100uL of 10^-5 dilution or 100ul of 10^-4/10),colonies on 2nd URA- plate (100uL of 10^-5 dilution or 100ul of 10^-4/10),URA+ cells/mL,% URA+,transfer #,timepoint,volume transfered (mL),total URA- cells transfered,number of diploids,total colonies screened,% diploid,notes,notes,notes,wells with diploids,wells to exclude because of poor screen,wells with haploids,wells with possible haploids,generations,population
10/23/21,12:15 PM,10 day,2,0.548,1.64E+08,,,,54,45,49500000,54,48,51000000,1.03030303,8,7,0.5,25500000,1,92,1.086956522,looked good under microscope,larger cells,,B7,,,,56,
10/23/21,12:15 PM,10 day,3,0.608,3.34E+08,,,,34,21,27500000,42,26,34000000,1.236363636,8,7,0.4,13600000,0,91,0,looked good under microscope,smaller cells,,,E6,,,56,
10/25/21,1:40 PM,6 day,1,0.664,2.22E+08,,,,74,83,78500000,87,79,83000000,1.057324841,6,5,0.4,33200000,14,91,15.38461538,looked good under microscope,variable cell size,,"B3,B5,B6,D1,D4,D9,E10,F1,F2,F7,G4,G12,H2,H5",,,,40,
10/25/21,1:40 PM,6 day,2,0.648,2.30E+08,,,,141,146,143500000,118,119,118500000,0.825783972,6,5,0.4,47400000,6,92,6.52173913,looked good under microscope,variable cell size,,"B2,D3,G1,G2,G6,G12",,,,40,
10/25/21,1:40 PM,6 day,3,0.635,2.20E+08,,,,112,128,120000000,106,111,108500000,0.904166667,6,5,0.4,43400000,5,92,5.434782609,looked good under microscope,variable cell size,some cells with two buds observed (mickey mouse),"B5,B11,D7,D12,E12",,,,40,
10/27/21,11:00 AM,8 day,2,0.523,1.26E+08,,,,13,19,16000000,5,8,6500000,0.40625,8,7,1,6500000,1,43,2.325581395,looked good under microscope,,,A6,,,,56,
10/27/21,11:00 AM,8 day,3,0.528,1.35E+08,,,,7,6,6500000,4,7,5500000,0.846153846,8,7,1,5500000,11,22,50,looked good under microscope,,,"D12,E1,E2,E3,E6,E8,E10,E11,F2,F3,F4",,,,56,
10/27/21,11:00 AM,8 day,3b,0.561,1.31E+08,,,,8,9,8500000,4,5,4500000,0.529411765,8,7,1,4500000,14,23,60.86956522,looked good under microscope,,,"F6,F7,G2,G5,G7,G10,G11,G12,H1,H2,H3,H8,H11,H12",H5-7,,,56,
10/31/21,12:45 PM,6 day,1,0.609,2.03E+08,,,,117,103,110000000,104,,104000000,0.945454546,7,6,0.6,62400000,29,90,32.22222222,looked good under microscope,,,"A4,A9,A12, B1,B3, B6, B8, B9, C2, C3, C11, D2,E3,E8, E12, F4,F6,G1,G2,G3,G5,G6,G7,G10,G12,H1,H2,H5,H6",E1,,,48,
10/31/21,12:45 PM,6 day,2,0.567,1.51E+08,,,,74,72,73000000,78,72,75000000,1.02739726,7,6,0.5,37500000,26,92,28.26086957,looked good under microscope,,,"A9,A11,B6,B8,B9,B11,C1,C5,C10,C11,C12,D6,D8,E2, E6,E7,E10,F1,F5,G5,G7,G8,G9,H1,H2,H6",,,,48,
10/31/21,12:45 PM,6 day,3,0.58,1.69E+08,,,,93,80,86500000,96,95,95500000,1.104046243,7,6,0.5,47750000,15,92,16.30434783,looked good under microscope,,,"A1, A3,A4,A5,C11,D4,D11,E1,E7,F8,F10,F11,H1,H3,H4",,,,48,
11/2/21,12:50 PM,10 day,1,0.619,2.30E+08,39.45,,33.25,45,54,49500000,53,46,49500000,1,9,8,0.8,39600000,10,92,10.86956522,looked good under microscope,smaller cells,,"A7,A9,C2,C8,C11,D4,E12,F7,H1,H3,H5",,,,64,
11/2/21,12:50 PM,10 day,2,0.562,1.37E+08,90.61,,78.42,59,58,58500000,75,69,72000000,1.230769231,9,8,0.8,57600000,0?,92,#VALUE!,looked good under microscope,larger cells,,?,,,,64,
11/2/21,12:50 PM,10 day,3,0.526,1.63E+08,48.12,,40.78,84,65,74500000,69,78,73500000,0.986577181,9,8,1,73500000,11?,92,#VALUE!,looked good under microscope,smaller cells,,"A2,A3,A6,A9,A10,D9,G5,H3,H5,H7,H8",other wells may be diploid,,,64,
11/4/21,1:30 PM,8 day,2,0.498,1.17E+08,83.59,15.68,72.15,42,40,41000000,42,41,41500000,1.012195122,9,8,2,83000000,2?,92,#VALUE!,looked good under microscope,small chance that #2 and #3 glycerol cryotubes were switched by accident.,everything else is definetly good,"F12,H7",,,,64,
11/4/21,1:30 PM,8 day,3,0.526,1.13E+08,79.35,43.29,69.64,46,25,35500000,36,35,35500000,1,9,8,2,71000000,1?,92,#VALUE!,looked good under microscope,small chance that #2 and #3 glycerol cryotubes were switched by accident,everything else is definetly good,F1,,,,64,
