FOS10_ROS10,FOS10_ROS11,FOS10_ROS12,FOS10_ROS13,FOS10_ROS1,FOS10_ROS2,FOS10_ROS3,FOS10_ROS4,FOS10_ROS5,FOS10_ROS6,FOS10_ROS7,FOS10_ROS8,FOS10_ROS9,FOS1_ROS10,FOS1_ROS11,FOS1_ROS12,FOS1_ROS13,FOS1_ROS1,FOS1_ROS2,FOS1_ROS3,FOS1_ROS4,FOS1_ROS5,FOS1_ROS6,FOS1_ROS7,FOS1_ROS8,FOS1_ROS9,FOS2_ROS10,FOS2_ROS11,FOS2_ROS12,FOS2_ROS13,FOS2_ROS1,FOS2_ROS2,FOS2_ROS3,FOS2_ROS4,FOS2_ROS5,FOS2_ROS6,FOS2_ROS7,FOS2_ROS8,FOS2_ROS9,FOS3_ROS10,FOS3_ROS11,FOS3_ROS12,FOS3_ROS13,FOS3_ROS1,FOS3_ROS2,FOS3_ROS3,FOS3_ROS4,FOS3_ROS5,FOS3_ROS6,FOS3_ROS7,FOS3_ROS8,FOS3_ROS9,FOS4_ROS10,FOS4_ROS11,FOS4_ROS12,FOS4_ROS13,FOS4_ROS1,FOS4_ROS2,FOS4_ROS3,FOS4_ROS4,FOS4_ROS5,FOS4_ROS6,FOS4_ROS7,FOS4_ROS8,FOS4_ROS9,FOS5_ROS10,FOS5_ROS11,FOS5_ROS12,FOS5_ROS13,FOS5_ROS1,FOS5_ROS2,FOS5_ROS3,FOS5_ROS4,FOS5_ROS5,FOS5_ROS6,FOS5_ROS7,FOS5_ROS8,FOS5_ROS9,FOS6_ROS10,FOS6_ROS11,FOS6_ROS12,FOS6_ROS13,FOS6_ROS1,FOS6_ROS2,FOS6_ROS3,FOS6_ROS4,FOS6_ROS5,FOS6_ROS6,FOS6_ROS7,FOS6_ROS8,FOS6_ROS9,FOS7_ROS10,FOS7_ROS11,FOS7_ROS12,FOS7_ROS13,FOS7_ROS1,FOS7_ROS2,FOS7_ROS3,FOS7_ROS4,FOS7_ROS5,FOS7_ROS6,FOS7_ROS7,FOS7_ROS8,FOS7_ROS9,FOS8_ROS10,FOS8_ROS11,FOS8_ROS12,FOS8_ROS13,FOS8_ROS1,FOS8_ROS2,FOS8_ROS3,FOS8_ROS4,FOS8_ROS5,FOS8_ROS6,FOS8_ROS7,FOS8_ROS8,FOS8_ROS9,FOS9_ROS10,FOS9_ROS11,FOS9_ROS12,FOS9_ROS13,FOS9_ROS1,FOS9_ROS2,FOS9_ROS3,FOS9_ROS4,FOS9_ROS5,FOS9_ROS6,FOS9_ROS7,FOS9_ROS8,FOS9_ROS9
3,1086,60,1,439,42,2,2,0,148,294,33,0,0,157,27,0,1,0,1,0,3,256,60,1,1,121,0,0,0,0,0,251,0,0,1,3,1,26,2,1,0,17,444,44,0,1,0,2,4,81,2,0,78,1,0,6,0,2,1,0,55,5,1,2,101,2,1,0,0,1,56,1,0,4,3,1,744,0,1,0,174,0,118,1,0,0,0,2,75,1,0,0,0,0,0,0,0,0,0,5,1,0,0,880,528,873,483,0,4,809,520,2,365,830,684,527,147,9,4,1368,619,500,593,588,1,120,3037,2806,531
1,1006,6,1,486,40,3,3,0,154,510,37,0,0,130,0,1,31,2,2,2,0,67,115,0,0,155,0,0,1,1,1,234,0,0,1,2,1,27,0,1,1,37,361,22,2,2,0,1,1,64,1,0,71,20,8,15,0,0,1,0,20,32,14,2,69,0,0,2,0,1,51,2,0,1,3,1,812,0,0,0,153,0,187,0,0,0,0,0,40,3,1,0,0,1,0,0,1,0,0,6,0,0,0,640,255,325,431,1,0,573,645,0,347,421,320,546,156,7,4,1108,773,1199,917,477,2,230,3156,2897,434
7,403,297,1,2424,1277,9,3,0,114,2835,1322,9,3,300,290,2,128,3,0,2,0,78,146,7,0,192,1,0,1,1,1,389,202,1,2,3,0,422,0,0,0,8,193,21,2,0,0,0,3,22,1,1,21,0,0,0,0,1,0,0,16,6,3,2,30,2,0,1,3,1,23,0,0,1,6,0,419,0,0,0,102,1,26,2,0,0,0,2,28,1,0,3,0,0,1,0,0,0,0,2,0,0,1,397,361,679,368,2,2,447,443,0,92,476,538,307,2792,59,6,868,457,507,558,580,2,306,2103,1295,3569
2,1304,2,1,289,28,0,1,0,152,332,70,1,0,214,77,2,0,0,2,1,0,74,2,0,1,170,1,1,3,1,0,404,0,0,0,0,2,1,3,0,0,21,456,90,13,1,0,3,0,70,0,1,99,73,39,5,0,0,0,0,22,1,22,37,171,15,4,5,6,11,55,1,0,1,4,0,778,0,12,0,214,1,100,5,1,0,0,1,136,1,0,1,0,0,0,0,0,1,0,8,0,0,0,690,474,573,502,1,1,571,495,4,323,488,525,500,176,9,3,1153,646,1261,569,481,2,262,3082,3146,459
4,1305,13,0,427,26,2,1,1,182,500,53,0,1,146,1,0,1,0,0,1,0,107,1,5,1,198,2,0,1,0,0,376,0,0,0,0,2,49,1,0,0,39,409,44,0,0,0,2,0,70,0,0,63,4,16,2,4,1,0,0,39,1,0,3,56,0,1,0,0,0,70,2,1,22,6,3,899,1,0,1,229,0,148,5,1,1,1,1,40,1,0,1,0,0,0,1,0,0,0,10,1,0,1,734,429,644,441,0,1,794,607,3,495,737,529,440,210,8,5,1609,613,1044,657,745,1,271,3782,3623,650
1,1605,24,2,398,54,1,1,0,169,516,77,1,0,137,17,0,0,1,0,1,0,278,0,1,3,158,2,1,0,2,0,405,22,0,4,2,2,3,1,0,0,15,433,72,0,0,0,0,1,61,1,2,88,1,0,5,0,0,1,0,59,13,3,2,113,1,0,0,1,0,81,6,0,1,6,1,1077,1,0,0,272,1,142,7,0,0,3,2,68,2,0,1,0,0,0,0,1,0,0,6,1,3,0,793,606,469,530,0,2,612,727,1,377,757,850,542,231,10,14,1514,910,678,918,1052,2,699,3610,3858,773
3,374,1,1,253,63,5,1,2,276,175,45,4,6,767,0,1,1,1,4,3,3,402,6,3,1,532,2,3,1,2,0,973,2,4,2,1,3,10,208,1,52,530,1237,830,264,84,0,34,24,1376,3,18,974,278,92,286,195,48,18,1,475,473,129,119,1289,510,219,68,44,13,729,106,2,38,21,36,2914,3,49,32,1871,40,1520,387,90,1,64,28,712,8,1,12,1,3,663,1,2,0,0,25,313,11,0,3194,2262,2105,1249,5,22,3325,3938,9,1835,2903,2350,2482,139,11,9,2179,3140,3745,3363,1735,4,614,2896,4912,472
4,1595,17,1,608,57,0,0,0,195,717,95,0,2,343,0,2,1,1,4,2,0,221,0,1,0,179,1,0,1,0,0,403,3,0,0,1,1,3,15,3,2,32,464,22,1,0,0,0,8,39,3,1,112,16,10,5,0,2,2,0,7,9,1,1,108,0,0,4,0,0,66,2,0,0,4,1,1047,0,1,1,232,0,159,1,1,0,0,3,49,0,0,1,0,0,0,1,0,0,0,5,2,1,0,718,620,507,503,0,4,601,677,3,218,765,401,680,128,8,7,1762,625,1232,834,695,3,274,3881,3343,445
2,251,0,0,25,0,0,1,0,101,5,3,1,3,301,0,1,1,1,2,0,1,178,0,0,0,132,0,0,0,0,0,249,0,0,0,1,1,2,59,1,3,283,568,351,142,25,1,14,20,590,2,7,375,84,19,171,62,27,14,0,227,149,46,51,509,90,7,6,18,6,267,23,0,21,4,4,1396,0,4,0,678,1,559,94,20,0,0,4,287,0,0,4,0,0,54,1,1,1,0,11,35,0,0,630,482,353,161,1,3,1185,998,2,384,324,354,868,4,2,5,742,1283,1283,1059,277,2,89,1650,1716,9
2,2190,2,0,51,9,0,0,0,93,85,8,3,0,443,33,0,0,2,1,1,0,346,0,2,2,252,2,0,0,0,1,550,0,0,0,3,1,3,2,1,0,32,613,69,20,0,0,1,3,47,1,1,95,7,3,0,0,0,0,0,14,2,2,0,98,9,1,1,0,1,79,0,1,0,5,0,1351,0,1,1,152,1,116,0,0,0,0,1,79,2,0,2,0,0,0,1,0,0,0,4,0,0,0,93,96,91,34,1,0,543,230,3,100,77,3,306,42,9,4,877,388,281,65,37,0,23,4577,2284,138
2,913,32,0,381,85,1,1,0,194,286,34,0,0,222,36,0,0,1,3,1,1,250,91,4,1,283,0,0,0,0,1,267,1,0,1,4,0,545,1,2,0,51,428,61,1,0,0,1,4,105,1,2,71,3,2,8,6,1,2,0,24,12,5,3,83,11,14,4,1,22,50,5,0,4,3,6,788,3,0,1,183,1,135,1,0,0,1,2,63,1,0,3,1,0,1,0,1,0,0,5,1,0,1,443,346,416,320,3,4,789,640,2,283,631,284,428,213,7,6,1394,736,834,967,604,2,259,3452,3223,602
2,566,5,1,461,23,2,0,0,121,459,49,1,2,210,0,1,1,0,3,3,1,210,1,0,0,155,0,0,0,0,1,360,0,0,3,0,0,0,0,0,1,11,354,22,1,1,0,0,0,44,1,0,49,0,0,6,0,0,3,0,6,4,7,1,30,0,0,1,13,9,26,1,0,1,3,3,722,0,1,2,117,0,52,0,0,0,0,0,70,0,0,0,0,0,4,0,0,0,0,4,0,2,0,369,422,446,451,1,1,410,470,1,329,959,709,383,179,13,5,1231,567,1147,792,745,2,186,2916,2407,469
5,1161,9,2,375,32,1,0,1,180,389,43,2,0,185,73,1,0,0,1,4,0,247,40,0,0,191,0,0,0,1,0,271,7,0,1,2,1,13,0,0,0,19,371,63,1,0,0,0,2,115,1,2,92,10,3,5,2,2,1,0,44,31,73,32,125,28,0,2,59,50,80,7,0,3,5,1,960,0,1,2,181,0,169,0,1,0,0,5,100,2,0,0,0,0,0,1,0,0,0,7,2,1,0,390,341,222,261,4,4,598,890,0,396,1008,803,452,312,11,3,1409,848,1203,679,892,1,203,3736,3935,832
0,391,3,3,270,28,0,1,2,149,259,37,0,0,170,0,1,0,1,1,0,1,217,1,1,1,164,0,0,0,2,0,392,0,0,1,3,1,2,0,0,0,22,320,19,1,3,0,0,1,68,2,0,46,0,3,3,1,0,1,1,44,7,2,0,42,0,2,0,0,1,74,1,0,2,4,1,847,2,0,0,231,2,146,3,2,0,1,2,48,1,0,0,0,0,1,0,0,0,0,5,1,2,0,522,579,824,770,1,4,509,600,1,357,669,518,475,118,5,5,1099,517,721,792,668,2,275,3292,2695,361
1,186,17,0,371,45,0,1,1,112,277,50,2,1,276,8,0,0,0,0,0,0,122,0,3,0,212,0,0,1,0,0,388,3,1,1,0,1,3,1,0,0,27,305,18,0,0,0,0,4,55,1,0,42,1,1,0,0,2,0,0,12,10,2,3,72,0,1,1,0,1,46,1,0,1,3,2,697,1,1,0,205,1,26,0,0,0,0,3,28,1,0,0,0,0,0,0,0,0,0,6,1,0,0,329,410,694,508,3,2,467,265,0,179,265,189,400,209,3,2,1057,539,530,506,270,1,178,2980,2109,695
3,408,0,1,524,60,1,0,0,146,243,25,1,1,223,0,1,1,0,1,0,0,98,1,1,0,136,0,1,0,0,0,316,0,0,0,2,1,3,0,0,0,25,386,25,9,0,0,1,1,77,0,0,54,0,0,0,0,2,2,0,22,5,5,1,54,0,0,2,1,0,22,0,0,0,2,4,685,0,0,0,200,0,66,0,2,0,0,0,14,1,0,1,0,0,0,0,1,0,0,0,0,0,1,533,353,494,334,0,2,480,581,1,337,679,657,510,189,8,6,1104,641,613,596,560,2,133,2922,2528,422
