M05_10_day_r1_Fitness_Per_Cycle,M05_10_day_r1_Error_Fitness,M05_10_day_r2_Fitness_Per_Cycle,M05_10_day_r2_Error_Fitness,M05_10_day_r3_Fitness_Per_Cycle,M05_10_day_r3_Error_Fitness,M05_2_day_r1_Fitness_Per_Cycle,M05_2_day_r1_Error_Fitness,M05_2_day_r2_Fitness_Per_Cycle,M05_2_day_r2_Error_Fitness,M05_2_day_r3_Fitness_Per_Cycle,M05_2_day_r3_Error_Fitness,M05_4_day_r1_Fitness_Per_Cycle,M05_4_day_r1_Error_Fitness,M05_4_day_r2_Fitness_Per_Cycle,M05_4_day_r2_Error_Fitness,M05_4_day_r3_Fitness_Per_Cycle,M05_4_day_r3_Error_Fitness,M05_6_day_r1_Fitness_Per_Cycle,M05_6_day_r1_Error_Fitness,M05_6_day_r2_Fitness_Per_Cycle,M05_6_day_r2_Error_Fitness,M05_6_day_r3_Fitness_Per_Cycle,M05_6_day_r3_Error_Fitness,M05_8_day_r1_Fitness_Per_Cycle,M05_8_day_r1_Error_Fitness,M05_8_day_r2_Fitness_Per_Cycle,M05_8_day_r2_Error_Fitness,M05_8_day_r3_Fitness_Per_Cycle,M05_8_day_r3_Error_Fitness,M3_1_day_r1_Fitness_Per_Cycle,M3_1_day_r1_Error_Fitness,M3_1_day_r2_Fitness_Per_Cycle,M3_1_day_r2_Error_Fitness,M3_1_day_r3_Fitness_Per_Cycle,M3_1_day_r3_Error_Fitness,M3_2_day_r1_Fitness_Per_Cycle,M3_2_day_r1_Error_Fitness,M3_2_day_r2_Fitness_Per_Cycle,M3_2_day_r2_Error_Fitness,M3_2_day_r3_Fitness_Per_Cycle,M3_2_day_r3_Error_Fitness,M3_3_day_r1_Fitness_Per_Cycle,M3_3_day_r1_Error_Fitness,M3_3_day_r2_Fitness_Per_Cycle,M3_3_day_r2_Error_Fitness,M3_3_day_r3_Fitness_Per_Cycle,M3_3_day_r3_Error_Fitness,M3_5_day_r1_Fitness_Per_Cycle,M3_5_day_r1_Error_Fitness,M3_5_day_r2_Fitness_Per_Cycle,M3_5_day_r2_Error_Fitness,M3_5_day_r3_Fitness_Per_Cycle,M3_5_day_r3_Error_Fitness
-8,42.67314126,-8,44.08383066,-3.18548387,4.059475164,0.120320687,0.124363674,0.185040339,0.106645844,0.248582147,0.151225659,0.532567671,0.54569784,0.419168154,0.282825537,-0.081205663,0.187946977,-8,94.79611983,-4.012630728,6.428741366,-2.285313307,2.456971735,-3.972666629,7.413455149,-8,80.74715695,-8,37.41871014,-2.861227957,6.984272072,-6.60288827,655.3057759,-8,50.88995662,-2.35914615,3.614775615,-8,55.05623635,-8,73.784184,-8,71.54694083,-3.239881706,9.215890312,-8,61.74102803,-8,40.83573544,-8,9.579344685,-8,16.18771946
-8,75.05161201,-8,46.89359283,-8,36.85414771,0.308480811,0.126684247,0.3082557,0.106133629,0.361252523,0.177042739,0.437483193,0.770062554,0.100563885,0.432239452,-0.457628853,0.242590729,-8,256.2832597,0.232684787,1.046824964,-8,43.83964807,-1.690217893,4.208254044,-8,132.7521203,-8,30.22959723,-8,73.61667844,-7.348947922,1342.177349,-8,52.56735853,-3.271947167,7.509950709,-2.479092028,6.02779001,-8,97.63294755,-2.876483384,8.219197153,-8,84.82807936,-8,71.58870887,-8,57.73575284,-4.681993027,2.571763076,-8,17.55491956
-1.053791687,1.676267819,-8,31.46336703,-4.600984679,5.722684394,-0.563024578,0.455098419,-0.2451328,0.284306468,-1.005018845,0.757704878,-0.128775692,0.980997529,-0.651386936,0.684623972,-1.454742233,0.388156131,-8,84.97430789,-3.439794736,4.590037703,-3.914631442,5.275883549,-1.426473744,2.057691891,-8,57.54696091,-0.38713674,0.75677833,-8,76.11442308,-6.86035817,923.9931146,-8,50.37089781,-8,33.33608939,-3.272107297,6.399005475,-2.627028741,4.757427232,-8,88.34626214,-8,73.72107675,-8,78.6731931,-8,56.83197125,-7.999602527,263.8072251,-8,26.96263976
-8,33.02796033,-7.796588337,32.75342366,-8,23.89314684,0.029293514,0.139765723,0.248918361,0.091371911,0.274043554,0.105272027,0.496729759,0.495007065,0.116721828,0.314695167,0.36560509,0.149166646,-1.610361917,3.099681833,-1.230875734,1.620785265,-3.66925947,5.25053077,-0.355195741,1.18410669,-8,52.90439262,-0.307693407,0.723752429,-8,81.11922415,-5.938831336,330.3714044,-8,58.71409161,-2.893842106,3.651697436,-1.828524832,2.615891503,-8,83.63358693,-8,66.08271645,-8,67.58290643,-3.086946983,9.809282903,-8,36.15803089,-8,14.64883841,-8,15.83806383
0.070322334,1.10076426,-8,40.23167478,-8,23.89314684,0.373964547,0.101828151,0.319445673,0.099370964,0.232486882,0.115993663,0.511142132,0.469091392,0.759849504,0.23273587,-0.159492936,0.150086727,-0.371360914,1.402274085,-1.84635336,1.955947782,-1.538978564,1.413701372,-0.351730793,1.007294298,-8,44.35126397,-8,24.12540545,-1.679864887,3.730482046,-6.032742036,394.077121,-8,46.23730141,-1.911697843,2.062793563,-2.622637889,7.767375757,-8,119.7517308,-3.764895481,10.50100086,-8,60.48620574,-0.921336345,1.357740244,-8,39.33160952,-8,10.64833344,-8,16.66624614
-8,38.42862611,-8,43.48650822,-4.023096533,5.654974991,0.084063102,0.144672251,0.337600689,0.097303587,0.382438411,0.133911615,1.297987821,0.401822247,0.381695092,0.329818658,-0.008135759,0.207999648,-8,163.249616,-8,34.17295269,-3.082597405,3.714249232,-8,46.14459365,-8,98.41053726,-8,25.47408288,-8,63.38082055,-1.742249735,7.110797367,-3.586436272,6.683052914,-8,81.44667838,-3.228732748,6.391788187,-8,102.2299256,-8,77.23350234,-8,66.65891926,-8,59.87860532,-8,57.19486178,-8,19.74081993,-8,23.15300325
-8,46.67813804,-8,38.79230077,-8,20.89125274,0.218454546,0.118774543,0.151894487,0.100827179,0.261072851,0.116162405,0.78208328,0.458992208,-0.136205718,0.334415983,-0.162132869,0.164973589,0.018694339,1.304475493,-0.836029187,1.295550762,-2.864912792,3.020740874,-0.630982255,1.437395759,-1.278097459,2.384556972,-8,28.93083393,-1.938738235,5.169439455,-6.915438286,771.6977855,-8,54.46199828,-1.400624751,2.592537427,-2.336786616,3.392197354,-1.992631544,3.578268573,-3.035501662,6.733569007,-1.506178601,2.984811636,-8,55.55514893,-8,48.49001525,-8,19.72300453,-8,16.18415914
-8,35.52648402,-4.403504999,7.58890708,-1.920884245,1.391698195,0.204474272,0.110282417,0.303528651,0.094702113,0.094339252,0.128698697,0.940849684,0.42377544,0.191950999,0.272328052,-0.075257311,0.160424643,-3.824942583,8.771781257,-2.418874676,2.649346925,-3.66772031,4.280322773,0.035947225,0.878424257,-7.937696576,50.80397769,-8,22.12513639,-8,70.02887135,-7.824703358,1443.117996,-8,627.1246983,-2.129344088,2.809607704,-1.886304959,2.702357631,-8,80.02306,-8,66.70170418,-1.559115749,3.425424429,-8,51.54736639,-8,45.8664489,-8,9.579344685,-8,14.19440907
-8,43.57086461,-8,49.56260651,-8,26.37042942,0.247956238,0.109548555,0.275769149,0.111180969,0.283626613,0.156713244,0.706390304,0.520350929,0.287240976,0.301314172,0.417242133,0.205060148,-8,77.29571217,-3.938056523,6.491646943,-3.936242856,5.300962645,-8,44.9809122,-8,66.45337355,-8,28.15264449,-8,89.54615458,-7.92879997,2657.90711,-8,69.64401666,-8,39.09489578,-0.672605383,1.116367291,-8,93.65627241,-8,75.80495282,-8,63.73152567,-8,58.59719483,-8,46.67667503,-8,10.64865936,-8,16.66624614
-0.073082569,1.072472601,-8,38.81808871,-4.481572416,5.740118789,0.274298538,0.100586145,0.210785168,0.087396022,0.133454164,0.118620963,0.793516151,0.418486665,0.444993253,0.250474211,0.337280052,0.146762953,-2.428521402,4.384706579,-0.659980424,1.127317022,-1.950046803,1.840672278,-0.409423044,1.452056284,-8,56.30585037,-1.681884931,1.111022611,-8,64.85156959,-6.987155693,1205.310945,-8,88.8069195,-8,113.672034,-2.689287534,4.393581229,-8,100.3940626,-3.099299586,8.262206422,-8,68.36570526,-8,45.95518393,-8,32.81208833,-8,8.151116356,-8,11.67349508
-0.147342201,1.36731749,-8,42.97999118,-0.926604346,1.169866158,0.260063223,0.091585801,0.25132736,0.076745503,0.199700687,0.131132335,0.811279787,0.457160176,0.473946434,0.24919933,-0.185970685,0.175889172,0.500393982,1.147404868,-2.376468183,2.649159505,-1.00661715,1.106377745,0.274097223,0.849571703,-8,53.37965425,-0.687938675,0.67560987,-8,63.57462803,-7.498732289,1138.419971,-8,62.94931322,-8,32.30672765,-8,52.58970771,-8,365.9630097,-8,61.01698648,-8,65.56432525,-2.741000268,4.868962193,-8,40.62586909,-8,9.579344685,-3.8329346,1.846553521
-8,53.94272391,-8,44.45330846,-1.113833304,1.146634675,0.130285227,0.116587967,0.134868663,0.099792905,0.163980315,0.110254375,0.580333003,0.509247558,0.726882646,0.242981725,0.29864627,0.154908041,-2.039249137,4.336438434,-0.442623163,1.023265777,0.20213033,0.718096022,-1.152157906,1.960507979,-0.056265224,1.571175778,1.274734593,0.471857434,-8,92.20444244,-7.887036111,1809.791518,-2.389648984,3.220547625,-1.038206343,0.889713113,-1.337867535,1.701760871,-8,85.03513412,-8,70.41213066,-8,54.53653329,-3.589104633,9.87743699,-8,43.00366571,-8,8.780531253,-8,21.85214908
1.652942101,0.395688498,0.934041997,0.525290842,1.442991923,0.273125342,0.285898056,0.119596741,0.383032823,0.101231949,0.38354531,0.134421334,3.550953884,0.109375002,2.933888753,0.140791193,2.691773212,0.062831484,2.956232513,0.491331878,1.978448976,0.286112313,2.136483851,0.294766499,1.786896597,0.363889029,1.928208473,0.710727056,1.367309085,0.425068108,-3.514874358,11.41710132,-7.556633503,1777.757291,-8,75.44406116,-8,50.90364846,-8,79.93216093,-8,111.9069258,-3.292199549,11.72486395,-3.151705914,13.01832557,-8,84.89333314,-8,50.99162653,-8,14.64761163,-8,16.18415914
0.675576825,0.771851349,-7.339877992,24.43930173,-8,24.50081156,0.234866265,0.106410611,0.235202626,0.085423323,0.194201378,0.116387802,0.562399366,0.493996972,0.228124334,0.307736765,0.002553734,0.173222341,-8,52.56553256,-1.736805297,1.872569343,-1.41206703,1.688397782,-2.894940945,4.287605117,-8,52.44260418,-8,34.10178156,-2.148073138,3.248485855,-1.496733355,3.425042593,-8,59.01292757,-0.54473863,0.657792836,-0.564450416,0.648519529,-8,82.68394883,-1.714189217,2.616979537,-2.92909434,7.491012961,-8,48.96198754,-8,37.01566829,-8,7.641231223,-8,9.586461038
-8,51.05475564,-8,35.34493829,-0.716995576,0.83563036,0.202839436,0.094434047,0.270408168,0.085578126,0.301488667,0.106310488,0.772275753,0.411885182,0.20093612,0.262895176,0.180274567,0.151971497,-1.328142998,2.642962433,-0.549210087,0.933474213,-1.778927476,1.741299736,-1.981219473,2.624640332,-8,53.53249703,-7.869788571,26.67392898,-8,64.05389108,-7.730013623,1510.067466,-8,64.74785465,-8,37.29364216,-1.686224421,2.855109479,-1.021292244,1.68155791,-8,75.80495282,-3.222941549,7.522602647,-3.571676406,9.875320675,-8,35.88156208,-8,6.85424412,-8,21.85214908
-0.542985571,1.791235947,-1.313899435,1.690496111,-4.334613916,5.741714893,0.335400035,0.090115532,0.253640621,0.082120984,0.423647367,0.111348694,0.879799874,0.376235501,0.407077911,0.245077775,0.336889908,0.161826601,-0.879742925,1.912171277,-1.7008177,1.733576126,-1.707048042,1.448963404,-0.712305843,1.381573269,-8,46.3568619,-8,17.87122597,-8,53.44684242,-6.147799735,326.7292327,-8,65.32249289,-2.653588048,2.601788766,-8,50.42714718,-2.425212309,4.641818059,-8,58.37550769,-2.593098001,5.742606512,-3.964418508,9.910135411,-8,33.16413702,-8,9.685997965,-8,12.50908738
-8,22.75959062,-8,22.24945861,-4.128913059,2.870820373,0.19283316,0.044951077,0.114666992,0.044722931,0.121152335,0.060343218,0.052876656,0.512004245,-0.546183879,0.336083544,-1.385612011,0.234646771,-8,97.43717077,-8,19.35226047,-8,20.21850082,-8,24.71680758,-8,54.85544591,-8,14.90708233,-0.778883522,0.373588946,-0.722747829,0.31460682,-0.735952379,0.257124136,-0.714595858,0.167639078,-0.993501337,0.388798652,-0.904435626,0.490188666,-0.23330043,0.258940319,-0.307828296,0.371937353,-0.191905049,0.240756828,-0.311908392,0.38400772,-0.205207609,0.187676727,-0.434900618,0.149647522
-8,33.84123425,-3.604126895,5.357059202,-4.454980584,5.740706796,0.215211894,0.102902977,0.166579638,0.082266867,0.290148772,0.101902227,0.427966162,0.511837513,0.492120246,0.21702674,0.495510027,0.145236852,-1.255866827,2.320866636,-1.857480065,1.872584631,-2.472938797,2.445663065,-2.832359635,3.656341783,-8,46.30772346,-8,19.99510436,-8,79.05299493,-0.936707479,1.768745339,-8,51.98726731,-2.34333895,4.170521813,-1.626971002,1.932573262,-8,77.61329258,-8,59.54490538,-8,58.43692807,-1.879812994,3.335306852,-8,35.66057759,-3.989726148,1.818545266,-8,14.19764683
-8,35.91676104,-8,43.23018346,-8,27.6813169,-0.089515459,0.118077936,-0.110484568,0.112550629,-0.105414105,0.124530902,-8,33.34661065,-1.936366131,1.132319934,-4.49337764,1.802909031,-8,117.2799757,-8,34.79549346,-4.577560285,7.503272707,-8,48.45499726,-8,83.23188621,-8,22.18988602,-0.695757303,0.513413917,-1.033224944,0.707906039,-0.777019911,0.367832783,-0.818635019,0.288302359,-1.1727365,0.768448101,-1.246740056,1.051447,-1.237309464,1.021253797,-0.945418132,1.032212802,-1.863153251,1.620605345,-1.897326523,1.414692403,-1.933426576,0.434576042,-1.217692444,0.337040466
