0,0,1,0,0,0,0,0,4,0,0,0,5,21
11,3,3,6,4,10,3,5,8,10,5,4,5,24
2,0,1,1,5,1,1,1,2,2,4,3,4,22
0,0,0,0,0,1,1,0,2,0,2,1,1,21
1,2,0,4,6,3,5,5,2,13,2,8,2,22
3,0,2,4,3,3,0,0,1,2,1,2,8,24
0,0,1,0,0,4,0,3,2,6,2,4,9,22
0,0,1,0,0,0,1,1,0,4,3,0,4,22
0,0,0,0,0,1,1,0,0,4,0,3,5,22
4,0,0,7,5,2,0,5,2,4,2,1,6,22
0,1,2,0,0,1,0,1,0,3,2,2,11,25
2,1,0,2,2,2,1,1,0,0,0,0,0,0
0,1,0,0,0,1,0,0,1,3,1,2,4,27
0,0,0,1,0,0,0,0,0,1,2,0,7,23
1,0,0,2,1,2,3,3,3,7,7,4,12,21
3,0,2,1,1,0,0,3,2,7,0,1,5,20
0,0,0,1,1,3,0,1,0,3,1,0,10,23
0,0,0,1,0,0,0,0,1,2,2,0,4,21
4,3,2,8,11,13,8,12,9,31,9,8,20,23
1,1,3,5,4,4,9,9,7,16,5,9,4,23
0,0,0,0,0,0,0,0,0,1,3,1,5,23
0,0,0,1,0,0,0,4,2,2,1,0,2,22
0,1,2,2,2,3,0,1,6,3,0,0,3,29
0,1,0,2,3,3,2,1,1,5,0,2,9,26
3,0,1,2,3,4,2,1,1,9,1,1,1,22
12,2,1,6,12,9,2,9,3,12,4,6,5,23
0,0,1,0,2,1,1,1,0,0,0,0,0,0
1,0,0,1,4,1,0,0,0,0,0,0,0,0
1,0,0,0,0,1,1,0,2,2,1,0,0,0
0,1,1,0,1,1,1,0,0,2,1,4,7,23
0,0,0,0,1,3,0,0,1,2,0,1,9,24
2,1,0,1,3,2,4,5,6,10,3,4,4,22
3,2,4,9,5,7,4,9,6,9,2,5,9,25
2,0,2,2,4,2,4,1,0,0,0,0,0,0
3,0,2,2,1,1,1,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,2,3,1,0,8,22
1,0,0,1,1,0,0,1,2,6,2,1,4,27
2,0,1,1,2,3,3,3,1,4,2,3,2,21
0,0,0,1,1,2,0,0,0,2,1,2,6,22
0,0,0,0,0,0,0,0,0,1,0,0,2,21
0,0,0,0,0,0,0,0,0,0,0,2,3,27
1,6,3,6,7,14,3,8,6,11,5,7,13,30
1,1,0,0,2,2,1,1,0,0,0,0,0,0
