23,9,5,1,0,0,0,0,0
10,3,2,2,0,0,0,0,0
15,4,2,1,0,0,0,0,0
15,2,1,1,0,0,0,0,0
114,29,37,27,0,0,0,0,0
6,1,0,0,0,0,0,0,0
10,5,4,2,0,0,0,0,0
0,0,11,29,8,4,0,6,0
208,148,112,358,130,55,21,59,0
10,4,4,1,0,0,0,0,0
3,1,1,1,0,0,0,0,0
6,1,0,0,0,0,0,0,0
14,4,6,1,0,0,0,0,0
6,4,5,1,0,0,0,0,0
7,4,3,1,1,1,0,0,0
9,4,3,1,0,0,0,0,0
254,67,46,29,0,0,0,0,0
0,1,2,1,1,1,0,0,0
8,0,4,1,0,0,0,0,0
8,1,0,0,0,0,0,0,0
1,2,1,1,0,0,0,0,0
21,0,62,80,93,38,11,19,0
49,22,10,3,2,1,0,0,0
15,12,1,1,0,0,0,0,0
4,0,0,15,0,0,0,8,0
259,77,43,28,1,1,0,0,0
20,7,3,1,0,0,0,0,0
23,5,7,2,2,1,0,0,0
4,3,3,1,0,0,0,0,0
6,1,1,1,0,0,0,0,0
16,4,3,1,0,0,0,0,0
19,9,6,1,0,0,0,0,0
1,0,0,3,1,1,0,0,0
2,1,1,1,0,0,0,0,0
6,3,6,1,0,0,0,0,0
7,2,1,0,0,0,0,0,0
15,6,8,2,0,0,0,0,0
4,3,4,1,0,0,0,0,0
0,0,20,31,37,14,0,0,0
0,0,0,0,5,10,0,0,0
