1126,1051,1352,383,851
116,134,67,1,1
77,121,2840,2070,880
388,701,2502,1399,851
1748,1321,67,1,1
1,1,1,402,144
854,741,3720,1802,894
1709,1766,3382,2281,937
116,310,3111,1974,937
738,970,2773,1744,923
349,418,1826,1668,851
932,903,1758,1207,865
233,296,135,19,28
233,53,67,1,1
1010,1159,3923,1993,894
932,1577,2976,1878,894
155,229,3111,1399,909
777,984,2367,2108,952
349,512,2435,1418,952
505,431,3179,1936,995
30116,24974,4261,2128,952
1670,890,5952,3010,937
854,782,67,1,1
816,916,2435,1687,1010
155,229,1149,1169,880
1,5137,13663,3815,1082
1,53,2164,1648,937
699,552,2570,1955,981
233,283,1691,939,952
272,350,1,1,1
427,957,67,38,14
1165,1294,3043,1629,966
272,458,1285,1169,909
1,202,1420,1,1
544,471,3043,2319,995
77,121,2908,2013,995
155,350,1,1,1
116,458,2502,1783,937
233,175,1488,1552,952
1515,2184,4464,2837,966
3613,5002,1691,2300,1038
854,3209,1285,843,995
1,1,1,402,1038
1,94,270,1,1
427,566,2570,2051,1010
155,512,2705,2108,937
1,40,2029,2664,1038
621,1173,2096,1821,995
272,310,3314,2013,1010
544,606,2435,1552,966
1010,903,4464,1917,981
310,134,67,1,1
14689,10976,135,95,14
38,107,608,881,937
9987,10194,1961,4524,1024
854,997,3246,1342,981
25570,23207,135,230,981
116,202,2773,1533,952
116,337,1488,1437,952
738,863,3517,2339,966
1010,1038,3652,2358,1038
38,188,1,76,14
233,283,3449,1974,1010
116,283,2908,1783,1024
582,701,4261,3201,966
310,458,3652,2128,995
466,485,1691,1227,966
116,107,3449,2741,1024
505,593,2299,1495,966
388,445,67,1,1
388,714,2570,1744,1096
272,323,4058,2166,1082
2098,2252,2164,1821,1038
2720,2373,4261,2875,1139
38,134,67,1,1
3536,2980,67,1,1
1981,1537,3517,1457,1111
1437,1200,2367,3048,1053
388,660,4464,1936,1067
77,94,2840,1936,1010
893,728,67,210,1082
310,566,4058,2664,1183
116,107,135,57,14
816,876,3584,1936,1067
77,67,67,1,1
1437,1294,4329,2089,1082
77,242,3584,1821,1024
893,957,2435,2549,1125
1282,1712,4464,2204,1067
1126,1200,67,19,14
388,364,1,1,1
310,674,67,1,1
38,53,270,38,909
3886,5421,405,134,1067
660,890,6493,3872,1111
16321,15224,1014,747,1082
2059,2184,4667,2530,1111
155,215,67,1,1
466,620,3652,2319,1111
388,498,2705,1399,1111
272,202,2976,2300,1053
272,215,3043,2128,1139
310,188,3382,2147,1096
38,40,67,1,1
699,1011,2435,1629,1111
310,283,2840,1476,1053
582,660,67,1,1
544,593,2502,1706,1096
19080,19890,1217,1303,1111
1554,1658,676,594,1154
777,1011,4599,2895,1197
