Fitness,Establishment_Time,Error_Fitness,Error_Establishment_Time,Probability_Adaptive,Mean_Fitness,Kappa_Value,Mutant_Cell_Fraction,Inference_Time
0.115,54.0,0.029657941093315415,6.990506667232868,0.9392901806261218,,,,
0.0,0.0,0.0,0.0,0.04345904914896595,,,,
0.0,0.0,0.0,0.0,0.525285722932746,,,,
0.0,0.0,0.0,0.0,0.1660312845630866,,,,
0.0,0.0,0.0,0.0,0.00011486767205264672,,,,
0.0,0.0,0.0,0.0,0.00011061052736316868,,,,
0.0,0.0,0.0,0.0,0.00011486767205264672,,,,
0.0,0.0,0.0,0.0,0.8861367920553623,,,,
0.0,0.0,0.0,0.0,0.18957176772658033,,,,
0.0,0.0,0.0,0.0,0.00012326944846774288,,,,
0.0,0.0,0.0,0.0,7.916976745780339e-05,,,,
0.0,0.0,0.0,0.0,0.00010727693222119123,,,,
0.0,0.0,0.0,0.0,0.08910110787323855,,,,
0.0,0.0,0.0,0.0,0.17039952888021984,,,,
0.0,0.0,0.0,0.0,0.7269446796776035,,,,
0.0,0.0,0.0,0.0,0.00011061052736316868,,,,
0.0,0.0,0.0,0.0,0.00011061052736316868,,,,
0.0,0.0,0.0,0.0,0.00015714317470546943,,,,
0.0,0.0,0.0,0.0,0.0633259854920907,,,,
0.0,0.0,0.0,0.0,0.027670002423226467,,,,
0.0,0.0,0.0,0.0,0.00011327697270030568,,,,
0.0,0.0,0.0,0.0,0.05528164563430792,,,,
0.0,0.0,0.0,0.0,0.00012803491420352453,,,,
0.0,0.0,0.0,0.0,0.042338219562244754,,,,
0.0,0.0,0.0,0.0,8.960165701467182e-05,,,,
0.0,0.0,0.0,0.0,0.05528164563430792,,,,
0.0,0.0,0.0,0.0,0.00015000653595324,,,,
0.0,0.0,0.0,0.0,0.6503720950945877,,,,
0.0,0.0,0.0,0.0,0.00015066934302266418,,,,
0.165,56.0,0.02097096771328878,0.11930756256791239,0.9818028667331159,,,,
0.0,0.0,0.0,0.0,0.06307942640002931,,,,
0.0,0.0,0.0,0.0,0.00010380915335473056,,,,
0.0,0.0,0.0,0.0,0.6779162887471716,,,,
0.0,0.0,0.0,0.0,9.042494427189417e-05,,,,
0.0,0.0,0.0,0.0,0.0742283270954162,,,,
0.0,0.0,0.0,0.0,0.00011061052736316868,,,,
0.0,0.0,0.0,0.0,0.00013917610632010238,,,,
0.0,0.0,0.0,0.0,0.00011061052736316868,,,,
0.105,42.0,0.048431693919197924,18.161869075916048,0.9943012575318035,,,,
0.0,0.0,0.0,0.0,0.00010727693222119123,,,,
0.0,0.0,0.0,0.0,9.042494427189417e-05,,,,
0.0,0.0,0.0,0.0,0.00010727693222119123,,,,
0.0,0.0,0.0,0.0,2.0863971620541646e-05,,,,
0.0,0.0,0.0,0.0,0.00011061052736316868,,,,
0.0,0.0,0.0,0.0,0.00011932336933858864,,,,
0.0,0.0,0.0,0.0,0.0652010823847267,,,,
0.0,0.0,0.0,0.0,0.03995954026122358,,,,
0.0,0.0,0.0,0.0,0.040046596893463786,,,,
0.0,0.0,0.0,0.0,0.07301652367076017,,,,
0.19,58.0,0.013885850732768403,3.7870114882976798,0.9942448141966301,,,,
0.0,0.0,0.0,0.0,0.0001310211381014917,,,,
0.0,0.0,0.0,0.0,0.00015066934302266418,,,,
0.165,-12.0,0.0031854197429172894,9.449333204912627,1.0,,,,
0.0,0.0,0.0,0.0,0.00011486767205264672,,,,
0.0,0.0,0.0,0.0,0.12843404393910282,,,,
0.0,0.0,0.0,0.0,0.07169236081041191,,,,
0.0,0.0,0.0,0.0,0.8722515353641215,,,,
0.0,0.0,0.0,0.0,0.22195636304625285,,,,
0.0,0.0,0.0,0.0,0.06326081886119839,,,,
0.0,0.0,0.0,0.0,0.5515814930018543,,,,
0.0,0.0,0.0,0.0,0.00010727693222119123,,,,
0.0,0.0,0.0,0.0,0.12722000742746845,,,,
0.06,-6.0,0.006053953139872402,6.08440172313355,0.9998827786537976,,,,
0.0,0.0,0.0,0.0,0.5878146821278705,,,,
0.0,0.0,0.0,0.0,8.811386161275399e-05,,,,
0.12,50.0,0.020971499028847,6.323151193074238,0.9524652875056626,,,,
0.0,0.0,0.0,0.0,0.04039605164674728,,,,
0.0,0.0,0.0,0.0,0.00010727693222119123,,,,
0.0,0.0,0.0,0.0,0.08360624637015372,,,,
0.0,0.0,0.0,0.0,0.00010727693222119123,,,,
0.0,0.0,0.0,0.0,0.00010727693222119123,,,,
0.0,0.0,0.0,0.0,0.10213611589214977,,,,
0.0,0.0,0.0,0.0,0.00012084018824999894,,,,
0.0,0.0,0.0,0.0,0.3954319559353771,,,,
0.0,0.0,0.0,0.0,4.3760417572565644e-05,,,,
0.0,0.0,0.0,0.0,0.04392057364615251,,,,
0.0,0.0,0.0,0.0,0.00011061052736316868,,,,
0.185,54.0,0.007414522343315917,2.2355715434838226,0.9979217094880242,,,,
0.0,0.0,0.0,0.0,0.15169153851388711,,,,
0.0,0.0,0.0,0.0,0.00027388219744476516,,,,
0.165,56.0,0.020971216909565823,0.030985805001987513,0.9912339605864804,,,,
0.105,46.0,0.017123173901213967,28.494684560525034,0.9301615504798754,,,,
0.0,0.0,0.0,0.0,0.05886616750004794,,,,
0.115,44.0,1239849.642328454,1239849642.3284533,0.9263011001915669,,,,
0.0,0.0,0.0,0.0,0.04054993033472271,,,,
0.0,0.0,0.0,0.0,0.00010727693222119123,,,,
0.0,0.0,0.0,0.0,0.00012803491420352453,,,,
0.0,0.0,0.0,0.0,0.0001030882523923342,,,,
0.0,0.0,0.0,0.0,9.345750331255015e-05,,,,
0.0,0.0,0.0,0.0,0.00010412631129235075,,,,
0.0,0.0,0.0,0.0,0.7549292309330157,,,,
0.0,0.0,0.0,0.0,0.00015066934302266418,,,,
0.0,0.0,0.0,0.0,0.6901636302483468,,,,
0.0,0.0,0.0,0.0,0.16222001811600853,,,,
0.0,0.0,0.0,0.0,0.04006680741001646,,,,
0.0,0.0,0.0,0.0,1.8866123890512577e-05,,,,
0.0,0.0,0.0,0.0,0.00010727693222119123,,,,
0.0,0.0,0.0,0.0,0.06307942640002931,,,,
0.0,0.0,0.0,0.0,8.811386161275399e-05,,,,
0.0,0.0,0.0,0.0,0.00011932336933858864,,,,
0.075,-56.0,0.003444788355732242,10.483481350054577,1.0,,,,
0.14,56.0,0.0074145483944213775,0.023168319180430597,0.9554519211926475,,,,
0.0,0.0,0.0,0.0,0.0001580494868312172,,,,
0.0,0.0,0.0,0.0,0.04345904914896595,,,,
0.0,0.0,0.0,0.0,0.0001580494868312172,,,,
0.0,0.0,0.0,0.0,0.07193081449056625,,,,
0.0,0.0,0.0,0.0,0.739850052146871,,,,
0.0,0.0,0.0,0.0,0.00011486767205264672,,,,
0.0,0.0,0.0,0.0,0.00013830302287096241,,,,
0.0,0.0,0.0,0.0,0.10479342759569606,,,,
0.0,0.0,0.0,0.0,0.11128107726237815,,,,
0.0,0.0,0.0,0.0,0.06163905665492271,,,,
0.0,0.0,0.0,0.0,0.00011486767205264672,,,,
0.0,0.0,0.0,0.0,2.5189428845755072e-05,,,,
0.0,0.0,0.0,0.0,0.042593476390149265,,,,
0.0,0.0,0.0,0.0,0.03852677183365036,,,,
0.0,0.0,0.0,0.0,8.124167850740048e-05,,,,
0.0,0.0,0.0,0.0,0.6615513807015418,,,,
0.0,0.0,0.0,0.0,0.00015073024936986624,,,,
0.0,0.0,0.0,0.0,0.512938749474826,,,,
0.0,0.0,0.0,0.0,0.32980341371260685,,,,
0.0,0.0,0.0,0.0,0.042338219562244754,,,,
0.0,0.0,0.0,0.0,0.04039605164674728,,,,
0.0,0.0,0.0,0.0,0.0001310211381014917,,,,
0.0,0.0,0.0,0.0,8.030456787356239e-05,,,,
0.155,52.0,0.030618413432096144,6.8040595550172,0.9920213695894704,,,,
0.0,0.0,0.0,0.0,0.4658627449104551,,,,
0.0,0.0,0.0,0.0,0.8689889344584169,,,,
0.0,0.0,0.0,0.0,0.4924415065182356,,,,
0.0,0.0,0.0,0.0,0.869072050694989,,,,
0.145,-14.0,0.01638273558120206,5.57314103671146,1.0,,,,
0.0,0.0,0.0,0.0,0.024073072850340226,,,,
0.0,0.0,0.0,0.0,0.00015562931115479798,,,,
0.0,0.0,0.0,0.0,0.0001486938605823596,,,,
0.0,0.0,0.0,0.0,0.03603967494592464,,,,
0.0,0.0,0.0,0.0,0.4257306543255785,,,,
0.15,60.0,0.42060562489934433,0.4194295779204442,0.934866605408682,,,,
0.09,42.0,0.020971514757091827,10.829646360615696,0.9538184948400551,,,,
0.0,0.0,0.0,0.0,0.00011486767205264672,,,,
0.0,0.0,0.0,0.0,8.811386161275399e-05,,,,
0.0,0.0,0.0,0.0,0.0001310211381014917,,,,
0.0,0.0,0.0,0.0,0.2569431094155575,,,,
0.0,0.0,0.0,0.0,0.14727409340380943,,,,
0.0,0.0,0.0,0.0,0.00016501162802688016,,,,
0.0,0.0,0.0,0.0,0.00011061052736316868,,,,
0.0,0.0,0.0,0.0,0.00011061052736316868,,,,
0.0,0.0,0.0,0.0,0.03899706826568124,,,,
0.12,-24.0,0.025127055006354242,12.2403520259629,0.9999999999999997,,,,
0.0,0.0,0.0,0.0,0.4859600715434499,,,,
0.0,0.0,0.0,0.0,0.00011061052736316868,,,,
0.0,0.0,0.0,0.0,0.7837859626032279,,,,
0.0,0.0,0.0,0.0,0.15162042826021524,,,,
0.06,-70.0,0.010148921520257755,17.594439150579035,0.9999999999999574,,,,
0.0,0.0,0.0,0.0,0.0001486938605823596,,,,
0.0,0.0,0.0,0.0,0.00015066934302266418,,,,
0.0,0.0,0.0,0.0,0.00010727693222119123,,,,
0.215,-6.0,0.0030438693748479724,8.038984637057048,1.0,,,,
0.0,0.0,0.0,0.0,0.06326081886119839,,,,
0.0,0.0,0.0,0.0,0.00011061052736316868,,,,
0.0,0.0,0.0,0.0,0.03929462011852852,,,,
0.0,0.0,0.0,0.0,0.04345904914896595,,,,
0.0,0.0,0.0,0.0,0.00015066934302266418,,,,
0.0,0.0,0.0,0.0,0.00011061052736316868,,,,
0.0,0.0,0.0,0.0,9.3502849847421e-05,,,,
0.0,0.0,0.0,0.0,0.00011061052736316868,,,,
0.0,0.0,0.0,0.0,0.00015066934302266418,,,,
0.0,0.0,0.0,0.0,0.15652236722408702,,,,
0.095,-38.0,0.010744255597566043,8.159934456888033,1.0,,,,
0.0,0.0,0.0,0.0,0.5973601210949564,,,,
0.125,42.0,0.008991434240307041,4.422003578412927,0.9972969291029014,,,,
0.0,0.0,0.0,0.0,0.5903065600567597,,,,
0.0,0.0,0.0,0.0,0.00011486767205264672,,,,
0.0,0.0,0.0,0.0,8.307101759135514e-05,,,,
0.0,0.0,0.0,0.0,1.8867715113294638e-05,,,,
