1,1,1,1,1,1,1,1,1,1,1,26845,27451,1,31465
1060,765,1914,2651,33913,150128,760546,1058123,1353501,1223865,865596,410175,155882,57785,29884
1,1,10,1,31,88,419,1687,6216,15599,28071,31591,33888,36982,31056
1,1,10,14,63,88,359,901,3155,11913,23689,24426,27864,33491,30811
1,1,1,1,1,1,1,1,1,1,1,18982,18387,1,17532
363,412,580,524,568,428,143,100,9,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,6688,13619,21805,20729,20218,17423
2231,1943,1954,2549,2368,2127,1343,2202,7136,10938,20832,27357,32875,31683,32911
47,29,162,218,4073,8952,23454,30194,32039,41649,46296,50620,44041,43538,39182
1,1,1,1,1,1,1,1,21621,34610,42302,49752,41122,43024,43217
126,176,356,451,2115,4727,10887,17378,17909,28682,35949,39082,35795,40189,39495
31,147,254,320,631,915,647,986,1928,10022,24715,32816,30119,26013,39536
94,294,234,218,536,738,2674,4405,9276,17821,33092,41222,49444,43733,41036
237,235,427,1340,42628,158578,699415,766930,863979,584848,326155,134352,52374,33030,43626
1,1,1,87,1610,4402,20924,42338,26302,48259,58168,44044,43769,52505,46149
80257,83231,88924,92121,105781,112160,101156,105388,92875,73705,54479,51101,41644,44123,45849
1,1,1,1,1,1,1,1,1,1,26546,49922,50174,52806,51684
300,471,580,728,3283,7165,16259,25317,27597,36365,43855,52078,49444,47773,47157
1,1,1,1,1,1,1,1,1,1,1,56281,46568,45364,53715
1,1,1,1,1,1,1,1,8527,1,27794,1,45708,47206,48562
1,1,1,1,1,1,1,1,1,1,665,1,1350,1,927
1,1,1,1,1,1,1,1,1,1,1,1,686,1,804
1,1,1,1,1,14,119,443,1,1,2607,4590,4607,5670,4730
1,1,1,1,1,1,1,1,86,1,1,1,130,1,1
1,1,1,1,1,1,1,1,1,1,32343,52915,60261,16409,63654
1,1,1,1,31,1,431,1602,6110,19011,40055,40183,49270,60071,59959
1376,1295,916,1544,9757,41572,282461,990796,1387574,1589040,1117771,389812,213410,34554,60873
1,1,1,1,1,1,1,1,1,1,1,61538,66383,20785,68657
174,323,274,670,1894,3456,3021,3776,8383,24958,45630,64842,62734,66132,68166
221,412,417,888,2684,3752,2829,3347,9918,20103,38252,56482,66590,69995,68644
3148,2620,3298,4516,61195,207168,756853,829694,885860,520405,277723,119789,71579,56829,78119
775,942,1018,1500,4199,12335,13669,18537,16518,6649,1109,1,1,1,1
316,294,305,757,9599,21938,58228,92572,110708,83123,73286,77931,80762,87733,81336
2088,1972,1873,2884,9030,42207,102307,322603,725931,1470662,1511887,874802,361569,130864,82918
1,1,1,14,284,576,3765,9640,12153,30788,63300,70844,86808,104461,96006
1155,1383,4327,9994,33628,72035,152106,261469,327041,399102,326294,197721,136089,92376,96238
1,1,1,1,63,88,1187,5220,22235,50170,91261,91998,107004,116954,101936
142,88,152,116,410,251,167,28,28,19,1,1,1,1,1
395,412,122,335,599,1373,5911,11757,24154,35565,54978,82336,94259,98666,104636
1772,1737,2280,2068,1863,1359,635,300,95,77,27,1,1,1,1
933,647,885,1325,20082,102882,471201,956410,1418155,1849740,1694771,1084915,443312,182129,108685
933,912,1018,1282,10230,22411,50494,77968,98391,84976,97807,125481,132113,120693,115243
933,1089,1720,6658,180143,696954,3105174,3726775,4805351,3626106,2444501,1067344,517964,176494,119237
300,529,753,1602,5146,12498,7194,6336,9132,28058,61580,89377,105120,131821,139237
1,1,61,116,2052,8893,46657,96792,110535,132241,136420,134554,124967,137899,140451
1345,1030,855,1209,9346,35485,183415,371407,426920,440693,339775,264641,186340,172294,171630
1,1,1,1,1,1,1,1,1,1,12898,1,1,1,23531
1,1,1,1,1,1,1,1,1,1,12066,1,1,1,22781
1,1,1,1,1,1,1,1,1,1,35866,56994,65043,1,67853
2705,3209,3461,3074,4673,5274,10072,24001,52126,120717,209096,257879,239096,227245,215257
1,29,20,101,3378,11346,54007,103543,139966,234785,268347,211229,202462,237416,221392
585,323,743,2345,24755,72212,293457,555766,701432,535029,438997,414192,343039,320525,291127
1,1,1,14,473,1772,9221,22370,62687,150121,286516,308655,403617,476003,455737
901,794,549,1048,5241,19914,98674,211936,261082,467719,617942,688573,645371,708990,717893
205,206,183,87,63,88,11,1,1,1,1,1,1,1,1
332,412,529,320,2557,8760,56094,221448,761156,1467230,2610353,3645382,3741118,3616026,3413543
1582,1472,2158,3161,7136,13177,44378,144223,400338,1117947,2201341,3051101,3149930,3332413,3403468
1,1,1,1,1,1,107,143,28,1,1,1,1,1,1
253,176,142,407,1010,4343,38695,204141,671685,1910050,3795891,5088798,5515959,6071035,6350422
158,88,122,189,2747,15009,153941,726751,2649139,4769870,8484009,11206231,12217421,11589782,10772442
1392,883,3716,14336,379107,1503779,6866178,13673303,16500619,22142968,24620994,24640359,22234305,22923062,22972410
158,117,610,1602,55353,202515,1180570,2996119,7160563,13714369,25721013,36961485,44943862,46678591,47547222
47,88,61,14,31,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,341,479,1,1
1661,2149,1832,1777,1768,1802,887,185,38,19,27,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,43,106,27
1,1,1,1,1,1,1,1,1,1,1,77,206,1,1
2326,2767,2413,2870,2305,1817,767,443,57,58,27,1,1,1,1
2025,2149,2586,2229,2241,1817,887,371,211,1,1,1,1,1,1
3259,3503,4062,3948,3568,2496,1139,486,239,1,1,1,1,1,1
1,1,1,1,1,1,1,1,19,1,138,1,1,1,1
