405,363,184,78,1,1,1,1,1
10996,10544,11358,6090,399,249,1,1,1
5234,4727,2400,624,533,249,1,1,1
1866,1575,7756,3982,533,249,1,1,1
12984,11514,6002,3201,399,249,1,1,1
6938,6302,2400,1795,1,1,1,1,1
1257,1212,1569,390,1,1,1,1,1
40,484,92,78,1,1,1,1,1
162,121,1,1,1,1,1,1,1
81,484,92,546,266,249,1,1,1
1420,1939,646,78,1,1,1,1,1
324,848,369,468,266,249,1,1,1
1,1,1,78,266,249,1075,814,1
324,727,92,78,1,1,1,1,1
973,848,646,390,133,249,1,1,1
568,484,554,78,1,1,1,1,1
162,121,92,1,1,1,1,1,1
202,242,369,78,1,1,1,1,1
7344,5333,2400,2420,1,1,1,1,1
81,242,184,78,1,1,1,1,1
5153,5211,1846,1093,133,249,1,1,1
1298,1333,277,78,1,1,1,1,1
1,121,92,312,133,249,1,1,1
40,1,92,234,133,249,1,1,1
1257,848,369,78,1,1,1,1,1
9900,9332,20776,9603,399,249,1,1,1
202,121,92,1,1,1,1,1,1
6086,7151,2400,1327,266,249,1075,814,1
527,363,4524,2342,1,1,1,1,1
689,606,369,78,1,1,1,1,1
405,606,184,156,1,1,1,1,1
243,121,1,1,1,1,1,1,1
1136,606,831,234,133,249,1,1,1
568,363,277,78,1,1,1,1,1
689,363,92,78,1,1,1,1,1
365,242,277,78,1,1,1,1,1
81,121,184,78,1,1,1,1,1
202,606,369,78,1,1,1,1,1
12497,9817,4155,2264,533,249,1,1,1
1663,2666,1015,312,133,249,1,1,1
446,727,184,78,1,1,1,1,1
121,363,184,78,1,1,1,1,1
202,121,1,1,1,1,1,1,1
892,848,184,78,1,1,1,1,1
649,969,831,78,1,1,1,1,1
1014,848,461,156,1,1,1,1,1
1,1,2400,1483,1,1,1,1,1
1,121,277,78,1,1,1,1,1
1217,1090,1292,624,1,1,1,1,1
527,484,184,78,1,1,1,1,1
2637,4605,4617,2342,133,249,1,1,1
202,121,277,78,1,1,1,1,1
486,606,92,1,1,1,1,1,1
9697,10181,3601,2342,1,1,1,1,1
12132,11635,6925,3513,133,249,1,1,1
1988,1212,1015,390,133,249,1,1,1
973,363,369,78,1,1,1,1,1
162,121,1,1,1,1,1,1,1
121,242,184,78,133,249,1,1,1
405,242,184,78,1,1,1,1,1
1054,484,554,78,1,1,1,1,1
405,121,369,78,1,1,1,1,1
162,242,92,78,1,1,1,1,1
162,121,92,78,399,249,1,1,1
1,1,184,78,133,249,1,1,1
284,121,277,78,1,1,1,1,1
365,606,831,78,1,1,1,1,1
202,363,92,78,1,1,1,1,1
933,969,554,78,1,1,1,1,1
121,242,92,78,1,1,1,1,1
933,848,646,78,1,1,1,1,1
933,363,277,78,1,1,1,1,1
243,242,184,156,133,249,1,1,1
21302,16484,8587,2810,799,499,1075,814,1
324,242,461,78,1,1,1,1,1
1,1,1,1,1599,1747,1,1,1
202,121,92,78,1,1,1,1,1
365,363,277,78,1,1,1,1,1
4990,3393,2400,1093,266,249,1075,814,1
19476,15514,7017,3982,133,249,1,1,1
689,363,277,78,1,1,1,1,1
892,242,646,78,1,1,1,1,1
284,121,369,78,266,249,1,1,1
365,242,92,78,1,1,1,1,1
162,121,1,1,1,1,1,1,1
1257,3999,6279,3357,266,249,1,1,1
243,242,277,156,1,1,1,1,1
162,363,184,390,133,249,1,1,1
202,121,1,1,1,1,1,1,1
243,727,92,546,133,249,1,1,1
2840,2545,1477,624,1,1,1,1,1
243,363,92,78,1,1,1,1,1
162,363,184,78,1,1,1,1,1
365,121,184,78,1,1,1,1,1
486,1,1,468,1,1,1,1,1
6045,10544,1,1,1,1,226957,223884,1
162,121,1,1,1,1,1,1,1
162,121,1,1,1,1,1,1,1
365,484,184,78,1,1,1,1,1
649,484,184,78,1,1,1,1,1
486,242,277,78,1,1,1,1,1
2069,2060,554,78,1,1,1,1,1
284,242,277,78,1,1,1,1,1
527,606,646,78,1,1,1,1,1
324,121,184,78,1,1,1,1,1
446,484,277,78,1,1,1,1,1
81,121,184,78,1,1,1,1,1
446,121,369,78,1,1,1,1,1
243,121,1,1,1,1,1,1,1
568,121,277,78,1,1,1,1,1
284,363,184,156,1,1,1,1,1
365,969,184,78,133,249,1,1,1
689,242,554,234,133,249,1,1,1
40,121,277,78,1,1,1,1,1
892,727,92,78,1,1,1,1,1
121,121,92,1,1,1,1,1,1
446,727,369,78,133,1,1,1,1
284,242,92,78,1,1,1,1,1
324,242,92,78,1,1,1,1,1
7871,7757,3139,1015,266,249,1075,814,1
568,363,277,78,1,1,1,1,1
527,484,184,78,1,1,1,1,1
730,848,277,156,1,1,1,1,1
446,363,92,1,1,1,1,1,1
243,121,184,78,1,1,1,1,1
243,1,369,78,1,1,1,1,1
7222,6302,4247,1717,133,249,1,1,1
243,121,184,78,1,1,1,1,1
649,121,184,78,1,1,1,1,1
81,121,92,78,1,1,1,1,1
3164,2060,2123,1171,399,249,1,1,1
933,1090,184,156,1,1,1,1,1
