9276,4097,9548,3647,5546,8868,1,6426,7083,1772,1511,1389,984,1246
2319,1,1,1823,1386,2533,2441,1285,1,1,1,1,1,1
67254,20485,47740,31007,37439,27872,43942,30848,24084,18314,13601,7643,1723,1506
1,1,1,3647,4159,1266,1,1285,2833,1181,1511,1,1,1
1,1,3182,1823,2773,5067,1,2570,1,2363,1,1,1230,1143
1,4097,12730,9119,6933,5067,7323,7712,5667,4135,6045,2084,1723,1350
1,1,3182,3647,1386,2533,1,1,1416,2953,1511,1389,2461,1195
2319,4097,1,1823,1386,3800,4882,1285,1,2363,1,2084,2215,1350
23191,4097,19096,18239,19412,15202,9764,12853,8500,8861,12090,6948,1969,1195
1,1,3182,1823,1386,1,1,1285,1416,590,1,1,1230,1350
2319,1,1,1823,1386,1,2441,1285,1416,1772,3022,694,1230,1402
2319,1,1,5471,1,2533,2441,1,1416,1181,1511,3474,1723,1402
1,1,1,1,1386,3800,4882,1285,1,1,1,1,1,1
4638,1,6365,5471,5546,5067,2441,1285,1416,1772,1511,3474,1230,1143
1,4097,1,1823,1386,6334,2441,1,1,1,1,1,1,1
2319,1,1,1,1,2533,1,1,1416,590,1,694,1477,1298
2319,4097,3182,1,1,1,1,1,1,1181,1511,694,1230,1195
4638,1,1,3647,4159,3800,9764,2570,4250,1772,1,1389,1230,1506
13914,20485,12730,7295,18026,7601,12206,8997,11334,7680,7556,4169,1230,1506
1,1,1,1,1,2533,2441,1285,1416,1,1,1,1,1
1,8194,1,7295,2773,1266,2441,1,1,1,1,1,1,1
1,1,3182,1,1,1,1,2570,5667,6498,6045,1389,1969,1246
1,1,1,1823,2773,3800,2441,2570,1416,590,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,2461,1039
1,4097,1,1823,2773,2533,1,2570,2833,590,1,1,1477,51
20871,69652,47740,27359,22186,21537,9764,17994,19834,17132,28714,18761,4677,1818
2319,1,9548,12767,8319,2533,1,8997,7083,4726,3022,694,1,1
2319,1,1,1823,1386,3800,1,1285,1,2363,3022,694,1723,1402
1,20485,12730,3647,6933,5067,12206,3856,5667,5907,4533,1389,738,1195
1,1,3182,1,1,1,1,2570,1416,2363,1511,2779,1723,1350
2319,1,1,1,1,1,1,1285,1416,590,1511,2779,1230,1402
1,1,1,1,1,2533,1,1,2833,1772,3022,694,2708,1298
1,4097,1,1,1386,2533,1,2570,1416,1772,1511,694,1,1
1,1,1,1,1,1,1,1285,1,1181,1511,3474,1723,1402
1,1,1,1,1,1,1,1,1,590,1,1389,738,1143
1,1,1,1,1,1,2441,1,1416,1772,1,2779,1230,1195
30148,36874,25461,18239,31892,22804,17088,34704,14167,12406,7556,2779,2215,1454
4638,1,3182,1,2773,1,1,1,1416,2953,1,1,1969,1506
1,1,1,1,1386,1,1,1,1416,1,1,694,1723,1350
1,1,1,3647,1,1,1,1,1,1,1511,1,738,1246
1,1,1,1,1,1,1,2570,2833,1181,1,1389,246,1350
2319,1,1,1,1,1,2441,1285,1,590,1,1,492,1298
1,4097,1,5471,1,1266,2441,1,2833,1181,1,694,1723,1350
34786,40971,12730,49246,41599,34206,26853,19280,21251,17723,13601,8338,3200,1610
1,4097,1,1,1386,2533,7323,1285,4250,3544,1511,2779,1723,1195
2319,1,1,1823,1386,1266,2441,1285,1416,1,1,1,1,1
6957,1,1,1,2773,1266,4882,3856,1,590,1511,694,246,51
6957,1,1,1,2773,2533,4882,1285,1416,1,1,1,1,1
2319,1,1,5471,1386,2533,2441,1285,1,1,1,1,1,1
39424,36874,6365,34655,36052,20270,7323,25706,14167,16542,31737,4864,1969,1350
1,1,1,1,1,1,2441,1285,2833,4135,6045,3474,1230,1298
2319,4097,1,3647,4159,3800,1,2570,2833,2953,1511,694,1,1
