1,7852,2555,17262,57259,1,558,41,1,1,1,1
1,1,1,1190,1684,4997,1,1,1,1,1,1
360,1,1277,2976,1684,1,1,1,1,1,1,1
1,1,3833,1190,3368,4997,1,1,1,1,1,1
360,1,3833,2381,6736,4997,1,1,1,1,1,1
22710,1,1,1,1,1,50,293,34,50,61,147
360,1,1,1,1,1,33,41,4040,3934,4548,461
360,3140,3833,595,1,1,1,1,1,1,1,1
720,1,1,1,1,1,16,83,306,736,460,147
1,1570,1,1190,5052,2498,1,1,1,1,1,1
1,1,1277,1785,1684,2498,1,1,1,1,1,1
2162,1,1,595,1,1,135,83,272,267,291,221
1,1,1,1,1,1,253,209,136,133,46,203
1,1,1,1,1,1,1,1,1,267,1,92
1,1,3833,595,1684,2498,1,1,1,1,1,1
720,10993,6388,22619,25261,1,473,1,1,1,1,1
1,3140,2555,1190,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,377,1,1,1,129
1,1570,6388,1190,1684,2498,1,1,1,1,1,1
1,1,1,1,1,1,1,125,1,318,1,1
1,1570,5110,595,1684,1,220,1,272,133,15,92
1081,1570,2555,595,1,1,1,1,1,1,1,1
720,1570,3833,595,1,1,1,1,1,1,1,1
2162,1,1,1190,1684,4997,1,1,1,1,1,1
1,1,1,1,1,1,1,209,1,1,1,314
1,12563,12777,39287,97677,1,524,1,1,1,1,1
24873,1,1,1,1,1,1,167,34,50,30,36
1,1,7666,5357,1,1,1,1,1,1,1,1
64887,1,1,1,1,1,203,335,187,133,199,166
360,9422,12777,15476,20209,1,169,125,1,1,1,1
1,3140,5110,2381,1,1,1,1,1,1,1,1
360,15704,15332,23215,13472,4997,829,41,1,1,1,1
2883,1,1,1,6736,4997,1,1,1,1,1,1
1,6281,2555,595,1,1,1,1,1,1,1,1
49747,155477,104772,63097,1,1,67,293,136,83,138,129
10093,1,1,1,1,1,118,83,85,50,76,55
1081,4711,3833,33334,26945,2498,541,1,1,1,1,1
1,1,1,1,1,1,203,1,596,16,1,1
360,1,1,595,6736,2498,1,1,1,1,1,1
1081,12563,10221,43454,114518,4997,490,1,1,1,1,1
360,1570,5110,9524,52207,4997,152,41,1,1,1,1
26676,12563,3833,1190,1,1,50,83,17,150,46,36
1,3140,1277,1190,1,1,1,1,1,1,1,1
1,10993,8943,36311,79152,7495,457,1,1,1,1,1
360,1,1277,1190,3368,2498,1,1,1,1,1,1
1,3140,1,1785,3368,2498,1,1,1,1,1,1
720,18845,15332,60716,106098,2498,1303,41,1,1,1,1
1,1,1,1,6736,2498,1,1,1,1,1,1
76062,1570,1,1,1,1,355,587,323,184,322,277
1,1,2555,595,1684,2498,1,1,1,1,1,1
1351468,1,1277,595,321662,767078,186,2434,664,16,1,1
1,1570,3833,1190,1,1,1,1,1,1,1,1
1802,14134,10221,47025,109466,1,440,1,1,1,1,1
88679,1,1,1,1,1,101,377,119,234,138,258
360,1,2555,595,3368,2498,1,1,1,1,1,1
3244,9422,2555,5357,1,1,1,1,34,50,1,1
7930,1,1,1,1,1,1,41,17,50,15,18
360,1,8943,6547,1,1,1,1,1,1,1,1
360,7852,11499,21429,16840,1,101,41,1,1,1,1
1,1,1,595,1684,1,67,41,1,1,1,1
1,1,1,1,5052,4997,1,1,1,1,1,1
10093,6281,10221,30953,141464,9994,133477,285666,7161,117,15,36
1,1,1,1,1,1,169,209,1,1,1,1
1441,25127,37053,108337,198723,37479,1320,83,34,16,1,1
1,1,1,1,1,1,33,41,17,33,15,18
5407,6281,1277,1190,1,1,33,83,17,16,46,36
6849,6281,3833,5357,1,1,16,41,136,16,30,36
1,7852,6388,18453,1,1,1,1,1,1,1,1
360,1,1277,1785,1684,2498,1,1,1,1,1,1
1,1,1,1,1,1,84,41,1,1,1,1
1,1,14054,11309,1,1,1,1,1,1,1,1
720,6281,6388,34525,33681,2498,490,1,1,1,1,1
9012,1,1,1,1,1,1,1,1,33,15,36
1,1,5110,1190,1,1,1,1,1,1,1,1
1,1,6388,4762,1,1,1,1,1,1,1,1
360,1,2555,595,1684,2498,1,1,1,1,1,1
70655,15704,8943,20834,47154,4997,20074,264005,1317465,143097,4502,240
720,31409,34498,68455,156621,9994,355,83,1,1,1,1
360,1,1,1,1,1,1,209,1841,2226,1936,498
50828,1,3833,595,1,1,67,293,136,184,138,73
2162,7852,10221,36906,50522,7495,507,1,1,1,1,1
