75811,1,1,1,112994,1,69013,1,53390,604229,38874,7932,5506,4783,1,1,1
2153037,1,1069518,1127819,1310734,1462765,966183,431654,213561,1,23324,15865,1,1,1,1,1
384109,196463,1,375939,858757,664893,828157,719424,523224,1,23324,1,1,1,1,12133,1
15162,1,1,1,1,1,1,143884,96102,1,31099,15865,1,1,1,1,1
3643990,589390,2139037,4135338,2576271,1462765,1449275,1151079,277629,302114,15549,7932,5506,4783,1,1,1
106135,1,1,751879,112994,132978,138026,287769,64068,302114,46649,23798,5506,33483,26072,9706,1
25270,1,1,1,1,1,69013,1,85424,1,38874,39663,1,14349,7449,4853,1
50540,1,1,1,1,1,1,1,1,1,23324,15865,1,1,1,1,1
358839,1,534759,375939,926553,1329787,1173222,1294964,726107,302114,23324,7932,1,1,1,1,1
318406,1,534759,1127819,655367,265957,897170,1007194,427122,1,54423,23798,11013,9566,7449,2426,1
338623,196463,1,1,406779,797872,1035196,431654,501868,1,23324,7932,5506,1,1,1,1
5160214,1178781,2673796,9022556,4429378,3457446,2967563,1007194,576615,1,46649,7932,5506,1,1,1,1
283028,1,1,751879,971751,664893,1518288,1007194,491190,1,46649,7932,5506,1,1,1,1
126351,1,1,1,112994,1,138026,1,395088,1,46649,7932,11013,1,1,1,1
136460,196463,1,1,429378,398936,966183,719424,309663,1,7774,7932,11013,4783,3724,2426,1
343677,392927,1,1,655367,797872,1518288,863309,1890016,302114,279894,150721,71585,4783,22348,7280,1
323461,1,534759,1127819,632768,132978,690131,1007194,373731,1,1,1,1,1,1,1,1
10108,1,534759,1,1,1,1,1,1,1,1,7932,11013,1,14898,4853,1
116243,1,1,1,180790,132978,1,1,74746,1,31099,7932,16519,1,14898,4853,1
5054,1,1,1,22598,1,138026,1,96102,1,7774,1,5506,14349,7449,1,1
353785,1,534759,375939,316384,531914,621118,431654,192205,1,15549,7932,5506,4783,11174,1,1
212271,1,1,1,271186,265957,621118,287769,768820,1,178821,71394,11013,1,1,1,1
111189,1,1,1,1,1,69013,1,74746,1,31099,15865,5506,1,1,1,1
176892,1,1,1,203389,132978,690131,719424,352375,1,38874,23798,1,1,1,1,1
65703,1,1,1,1,1,1,143884,32034,1,15549,23798,1,1,1,1,1
60648,982318,534759,375939,22598,1,1,1,1,1,1,1,1,1,1,1,1
161730,1,1,1,610169,132978,759144,287769,352375,1,1,1,1,1,1,1,1
121297,196463,534759,1,406779,1063829,828157,575539,416444,1,23324,15865,1,1,1,1,1
414434,196463,1,1,1062146,664893,621118,1294964,384410,1,1,1,1,1,1,1,1
732841,1,1069518,375939,474576,1196808,828157,719424,341697,1,23324,15865,1,1,1,1,1
303244,1,1,1,700564,1462765,621118,575539,373731,1,1,1,1,1,1,1,1
192054,1,1069518,1,474576,265957,483091,431654,331019,1,46649,7932,1,1,1,1,1
293136,1,1,1,564971,797872,759144,575539,395088,1,1,1,1,1,1,1,1
30324,1,1,1,225988,132978,69013,1,1,1,1,1,1,1,1,1,1
